FeatureNum,FS_Method,Scaler,AugName,ImblName,Model,Norm_Order,Prob_Threshold,Split_Ratio,Random_State,Timestamp,RunID,LogDir,Model_RunID,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1,Micro_Precision,Micro_Recall,Micro_F1,Integrated_Score
4,biMaxInfgain,minmax,gaussian_noise,ADASYN,random_forest,first,0.35,0.1,42,2026-02-20 16:13:33,20260220-161321,log/pimaindians_diabetes/4/biMaxInfgain/minmax__gaussian_noise__ADASYN/random_forest,1771575212296_720c096117715752134796516,0.4935064935064935,0.5930127041742287,0.575925925925926,0.4879795396419437,0.6516958540552007,0.4935064935064935,0.4720895472813631,0.4935064935064935,0.4935064935064935,0.4935064935064935,0.5234764088566289
4,biMaxInfgain,minmax,gaussian_noise,ADASYN,random_forest,first,0.35,0.2,42,2026-02-20 16:13:35,20260220-161321,log/pimaindians_diabetes/4/biMaxInfgain/minmax__gaussian_noise__ADASYN/random_forest,1771575212296_720c096117715752159823330,0.512987012987013,0.5907237512742101,0.5824074074074074,0.5113179606515761,0.6465970319181329,0.512987012987013,0.5027872487148984,0.512987012987013,0.512987012987013,0.512987012987013,0.5392834056597513
4,biMaxInfgain,minmax,gaussian_noise,ADASYN,random_forest,last,0.35,0.1,42,2026-02-20 16:13:38,20260220-161321,log/pimaindians_diabetes/4/biMaxInfgain/gaussian_noise__ADASYN__minmax/random_forest,1771575212296_720c096117715752180121286,0.4545454545454545,0.608974358974359,0.562962962962963,0.4330294530154277,0.6759906759906761,0.4545454545454545,0.4000382506693867,0.4545454545454545,0.4545454545454545,0.4545454545454545,0.4915711371637037
4,biMaxInfgain,minmax,gaussian_noise,ADASYN,random_forest,last,0.35,0.2,42,2026-02-20 16:13:40,20260220-161321,log/pimaindians_diabetes/4/biMaxInfgain/gaussian_noise__ADASYN__minmax/random_forest,1771575212296_720c096117715752200434989,0.5194805194805194,0.6495098039215687,0.612962962962963,0.5112369188540058,0.7190603514132926,0.5194805194805194,0.4922766374130244,0.5194805194805194,0.5194805194805194,0.5194805194805194,0.5564725530620447
4,biMaxInfgain,minmax,gaussian_noise,RandomUnderSampler,random_forest,first,0.35,0.1,42,2026-02-20 16:13:41,20260220-161321,log/pimaindians_diabetes/4/biMaxInfgain/minmax__gaussian_noise__RandomUnderSampler/random_forest,1771575212296_720c096117715752217697667,0.5064935064935064,0.6424180327868853,0.602962962962963,0.4962121212121212,0.7118905684479455,0.5064935064935066,0.4747146792601338,0.5064935064935064,0.5064935064935064,0.5064935064935064,0.5439635790880202
4,biMaxInfgain,minmax,gaussian_noise,RandomUnderSampler,random_forest,first,0.35,0.2,42,2026-02-20 16:13:43,20260220-161321,log/pimaindians_diabetes/4/biMaxInfgain/minmax__gaussian_noise__RandomUnderSampler/random_forest,1771575212296_720c096117715752231811017,0.4935064935064935,0.6226946721311475,0.5887037037037037,0.4829545454545454,0.6887241856504152,0.4935064935064935,0.4608913813459268,0.4935064935064935,0.4935064935064935,0.4935064935064935,0.5289917425711947
4,biMaxInfgain,minmax,gaussian_noise,RandomUnderSampler,random_forest,last,0.35,0.1,42,2026-02-20 16:13:44,20260220-161321,log/pimaindians_diabetes/4/biMaxInfgain/gaussian_noise__RandomUnderSampler__minmax/random_forest,1771575212296_720c096117715752246035857,0.5194805194805194,0.6763440860215053,0.6214814814814814,0.5075194468452895,0.7531071079458176,0.5194805194805194,0.4845940576277655,0.5194805194805194,0.5194805194805194,0.5194805194805194,0.5617025010080463
4,biMaxInfgain,minmax,gaussian_noise,RandomUnderSampler,random_forest,last,0.35,0.2,42,2026-02-20 16:13:45,20260220-161321,log/pimaindians_diabetes/4/biMaxInfgain/gaussian_noise__RandomUnderSampler__minmax/random_forest,1771575212296_720c096117715752259827620,0.4415584415584415,0.5615079365079365,0.5401851851851852,0.4251736111111111,0.6178107606679035,0.4415584415584415,0.3961850649350649,0.4415584415584415,0.4415584415584415,0.4415584415584415,0.4717775662664054
4,biMaxInfgain,minmax,gaussian_noise,SMOTE,random_forest,first,0.35,0.1,42,2026-02-20 16:13:47,20260220-161321,log/pimaindians_diabetes/4/biMaxInfgain/minmax__gaussian_noise__SMOTE/random_forest,1771575212296_720c096117715752277345847,0.5064935064935064,0.6200564971751412,0.5944444444444444,0.4996580027359781,0.6837625651184974,0.5064935064935064,0.4821894931334056,0.5064935064935064,0.5064935064935064,0.5064935064935064,0.5397008776516182
4,biMaxInfgain,minmax,gaussian_noise,SMOTE,random_forest,first,0.35,0.2,42,2026-02-20 16:13:49,20260220-161321,log/pimaindians_diabetes/4/biMaxInfgain/minmax__gaussian_noise__SMOTE/random_forest,1771575212296_720c096117715752297107613,0.5974025974025974,0.7199561403508772,0.6857407407407408,0.594047619047619,0.7961380724538619,0.5974025974025974,0.5830241187384044,0.5974025974025974,0.5974025974025974,0.5974025974025974,0.6357052949834903
4,biMaxInfgain,minmax,gaussian_noise,SMOTE,random_forest,last,0.35,0.1,42,2026-02-20 16:13:51,20260220-161321,log/pimaindians_diabetes/4/biMaxInfgain/gaussian_noise__SMOTE__minmax/random_forest,1771575212296_720c096117715752316821116,0.4805194805194805,0.6029713114754098,0.5744444444444444,0.4696969696969696,0.6655578028528848,0.4805194805194805,0.4470680834317198,0.4805194805194805,0.4805194805194805,0.4805194805194805,0.5140199060543694
4,biMaxInfgain,minmax,gaussian_noise,SMOTE,random_forest,last,0.35,0.2,42,2026-02-20 16:13:53,20260220-161321,log/pimaindians_diabetes/4/biMaxInfgain/gaussian_noise__SMOTE__minmax/random_forest,1771575212296_720c096117715752336139221,0.4285714285714285,0.571969696969697,0.5387037037037037,0.4027851225101357,0.6319362455726092,0.4285714285714285,0.3657173075470272,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.4609649005617466
4,biMaxInfgain,minmax,gaussian_noise,TomekLinks,random_forest,first,0.35,0.1,42,2026-02-20 16:13:55,20260220-161321,log/pimaindians_diabetes/4/biMaxInfgain/minmax__gaussian_noise__TomekLinks/random_forest,1771575212296_720c096117715752354715980,0.7272727272727273,0.7428571428571429,0.7644444444444445,0.7242966751918158,0.7940630797773655,0.7272727272727273,0.7328528249244362,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7396179826344239
4,biMaxInfgain,minmax,gaussian_noise,TomekLinks,random_forest,first,0.35,0.2,42,2026-02-20 16:13:57,20260220-161321,log/pimaindians_diabetes/4/biMaxInfgain/minmax__gaussian_noise__TomekLinks/random_forest,1771575212296_720c096117715752371521327,0.6103896103896104,0.6344696969696969,0.6446296296296297,0.6080095027999322,0.6848189689098779,0.6103896103896104,0.6171332485603654,0.6103896103896104,0.6103896103896104,0.6103896103896104,0.624319086410809
4,biMaxInfgain,minmax,gaussian_noise,TomekLinks,random_forest,last,0.35,0.1,42,2026-02-20 16:13:58,20260220-161321,log/pimaindians_diabetes/4/biMaxInfgain/gaussian_noise__TomekLinks__minmax/random_forest,1771575212296_720c096117715752388730369,0.4935064935064935,0.6349462365591398,0.592962962962963,0.4808988764044944,0.7041614299678816,0.4935064935064935,0.4567342769589961,0.4935064935064935,0.4935064935064935,0.4935064935064935,0.5312546333561193
4,biMaxInfgain,minmax,gaussian_noise,TomekLinks,random_forest,last,0.35,0.2,42,2026-02-20 16:14:00,20260220-161321,log/pimaindians_diabetes/4/biMaxInfgain/gaussian_noise__TomekLinks__minmax/random_forest,1771575212296_720c096117715752407024619,0.5454545454545454,0.5824468085106382,0.5861111111111111,0.5447635135135135,0.632495164410058,0.5454545454545454,0.550061425061425,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5625108673712396
4,biMaxInfgain,minmax,gaussian_noise,noImbl,random_forest,first,0.35,0.1,42,2026-02-20 16:14:02,20260220-161321,log/pimaindians_diabetes/4/biMaxInfgain/minmax__gaussian_noise__noImbl/random_forest,1771575212296_720c096117715752423861741,0.7012987012987013,0.7535919540229885,0.7614814814814814,0.7010970464135021,0.8168943125839677,0.7012987012987013,0.7034160775932927,0.7012987012987013,0.7012987012987013,0.7012987012987013,0.7243932239293434
4,biMaxInfgain,minmax,gaussian_noise,noImbl,random_forest,first,0.35,0.2,42,2026-02-20 16:14:04,20260220-161321,log/pimaindians_diabetes/4/biMaxInfgain/minmax__gaussian_noise__noImbl/random_forest,1771575212296_720c096117715752440456522,0.525974025974026,0.5644067796610169,0.5668518518518518,0.5254738086193069,0.613515298261061,0.525974025974026,0.5300758082827223,0.525974025974026,0.525974025974026,0.525974025974026,0.5431994459023075
4,biMaxInfgain,minmax,gaussian_noise,noImbl,random_forest,last,0.35,0.1,42,2026-02-20 16:14:05,20260220-161321,log/pimaindians_diabetes/4/biMaxInfgain/gaussian_noise__noImbl__minmax/random_forest,1771575212296_720c096117715752457669452,0.5584415584415584,0.6499999999999999,0.6344444444444444,0.5565718157181572,0.7138134592680047,0.5584415584415584,0.5479709991905114,0.5584415584415584,0.5584415584415584,0.5584415584415584,0.5888838359841684
4,biMaxInfgain,minmax,gaussian_noise,noImbl,random_forest,last,0.35,0.2,42,2026-02-20 16:14:07,20260220-161321,log/pimaindians_diabetes/4/biMaxInfgain/gaussian_noise__noImbl__minmax/random_forest,1771575212296_720c096117715752474258067,0.564935064935065,0.6302113078241005,0.6266666666666667,0.5647698991858945,0.6879556765336319,0.564935064935065,0.5622373576986138,0.564935064935065,0.564935064935065,0.564935064935065,0.589508479609142
4,biMaxInfgain,minmax,mixup,ADASYN,random_forest,first,0.35,0.1,42,2026-02-20 16:14:08,20260220-161321,log/pimaindians_diabetes/4/biMaxInfgain/minmax__mixup__ADASYN/random_forest,1771575212296_720c096117715752489764607,0.7142857142857143,0.7249322493224932,0.7459259259259259,0.710328317373461,0.7739063104916764,0.7142857142857143,0.7204416650381084,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7248062316500304
4,biMaxInfgain,minmax,mixup,ADASYN,random_forest,first,0.35,0.2,42,2026-02-20 16:14:10,20260220-161321,log/pimaindians_diabetes/4/biMaxInfgain/minmax__mixup__ADASYN/random_forest,1771575212296_720c096117715752502913293,0.7012987012987013,0.7272727272727273,0.7444444444444445,0.6994739521466147,0.7815820543093271,0.7012987012987013,0.7064688238962803,0.7012987012987013,0.7012987012987013,0.7012987012987013,0.7167408195285644
