Part_Label,AugName:mixup,AugName:noAug,ImblName:TomekLinks,ImblName:noImbl,Prob_Threshold:0.5,Split_Ratio:0.1,FS_Method:noSelect,FeatureNum:6.0,FeatureNum:7.0,FeatureNum:8.0,ImblName:RandomUnderSampler,FS_Method:infgain,FeatureNum:5.0,Norm_Order:first,Scaler:standard,FS_Method:biMaxInfgain,FS_Method:biMeanInfgain,ImblName:SMOTE,Model:random_forest,Norm_Order:last,Random_State:42.0,Scaler:minmax,ImblName:ADASYN,Prob_Threshold:0.35,FeatureNum:4.0,Split_Ratio:0.2,AugName:gaussian_noise
AugName:mixup,,,0.9599105736197947,0.9196455720974749,0.8283763690257456,0.9350467055554496,0.9230346041952008,0.9384878060624268,0.9261602679260722,0.9230346041952008,0.9077791444856838,0.9563740232366893,0.9535317422453359,0.9543068717908667,0.9500691204158342,0.944507389753674,0.9430634750413989,0.9300676105296557,0.9462496855674603,0.9381548610149513,0.9462496855674603,0.9386704254645516,0.8994762089202433,0.8726571948965666,0.9739593026463251,0.9560522518000757,
AugName:noAug,,,0.9436902122402256,0.8913240813592458,0.7704406370488399,0.9581361348536515,0.9459264928527608,0.9595717044090517,0.9497949759736467,0.9459264928527608,0.9405538087643021,0.9688915786464781,0.9700091322269085,0.9693418134026155,0.9610894735465397,0.9641383306151603,0.9630446933871731,0.9567825372913421,0.9642734193406293,0.958871742505216,0.9642734193406293,0.9624153266015028,0.9340862654097593,0.9130796468401413,0.9797929171130706,0.9682428592503746,
ImblName:TomekLinks,0.9599105736197947,0.9436902122402256,,,0.90467999565561,0.9263005384506472,0.9272338270462219,0.9337674563956551,0.9246698532672399,0.9272338270462219,,0.9604971690517421,0.9484305725148154,0.9531042474969135,0.9647245831553812,0.9385290253328447,0.937440073603267,,0.9441259411662822,0.9351982330781733,0.9441259411662822,0.9226479971598464,,0.8454618211883665,0.9748570172203069,0.9614868536124749,0.8779806511149677
ImblName:noImbl,0.9196455720974749,0.8913240813592458,,,0.9461937811381118,0.8695882803414708,0.8743643872416756,0.8798853912886465,0.8694627801972609,0.8743643872416756,,0.9159947625878994,0.8979580510980126,0.9050496744233941,0.9239446319033076,0.8852565296569974,0.8840763642566501,,0.8933054376515513,0.8819140415505927,0.8933054376515513,0.8637417221709652,,0.7708253709754251,0.9350636398447073,0.9175444701573362,0.8270216984037603
Prob_Threshold:0.5,0.8283763690257456,0.7704406370488399,0.90467999565561,0.9461937811381118,,0.6785032421383983,0.6794893104685649,0.693039996139466,0.6744966826521037,0.6794893104685649,0.6028992000532922,0.7513304313955284,0.7249140811350343,0.7347198878897122,0.7608189910843316,0.703291225790614,0.7008585334915055,0.6506564137744507,0.7145902048659528,0.6957503429613134,0.7145902048659528,0.6729375129545418,0.587948131048144,,0.7918495835670253,0.753496151589962,0.6014739000432874
Split_Ratio:0.1,0.9350467055554496,0.9581361348536515,0.9263005384506472,0.8695882803414708,0.6785032421383983,,0.998737152005263,0.9997235273393663,0.9995335994338805,0.998737152005263,0.994893380214677,0.9944299498646348,0.9977668948904235,0.9967608054682167,0.9920850989252481,0.999398372291026,0.9995182547571371,0.998984257157482,0.9987130767960256,0.9996442234872589,0.9987130767960256,0.9995491798281355,0.9929766103598444,0.98425962359996,0.9850467956431559,,0.9766955890083369
FS_Method:noSelect,0.9230346041952008,0.9459264928527608,0.9272338270462219,0.8743643872416756,0.6794893104685649,0.998737152005263,,0.9989674888793326,0.9997158961136388,1.0,0.9929144593411464,,0.9959569147643025,0.995570122192018,0.9929164304013247,,,0.9965543465500628,0.9978234733257484,0.9990281873153982,0.9978234733257484,0.9972372112530941,0.9908442362873875,0.9828693800554957,0.9826191113555818,0.9936471762955769,0.9849666550834322
FeatureNum:6.0,0.9384878060624268,0.9595717044090517,0.9337674563956551,0.8798853912886465,0.693039996139466,0.9997235273393663,0.9989674888793326,,,,0.9927388734830034,0.9964246617129848,,0.9981524105937216,0.9943954386373265,0.9997506628570352,0.9998811072696677,0.9978852394809693,0.9995238479772782,0.999927996633134,0.9995238479772782,0.9991131500764344,0.9901359480057904,0.980542956495956,,0.9961563966962663,0.976179479821452
FeatureNum:7.0,0.9261602679260722,0.9497949759736467,0.9246698532672399,0.8694627801972609,0.6744966826521037,0.9995335994338805,0.9997158961136388,,,,0.9944787633040215,0.9935617382207071,,0.9957265635463516,0.9921819577752944,0.9986387084378773,0.9988556004494514,0.9979740224555209,0.9981037841183832,0.9994205061928315,0.9981037841183832,0.9983573870600306,0.9928780611532099,0.9848191147736105,,0.9933380461053135,0.9826039991294855
FeatureNum:8.0,0.9230346041952008,0.9459264928527608,0.9272338270462219,0.8743643872416756,0.6794893104685649,0.998737152005263,1.0,,,,0.9929144593411464,0.9938245030563575,,0.995570122192018,0.9929164304013247,0.9979856280215272,0.9983045308357446,0.9965543465500628,0.9978234733257484,0.9990281873153982,0.9978234733257484,0.9972372112530941,0.9908442362873875,0.9828693800554957,,0.9936471762955769,0.9849666550834322
ImblName:RandomUnderSampler,0.9077791444856838,0.9405538087643021,,,0.6028992000532922,0.994893380214677,0.9929144593411464,0.9927388734830034,0.9944787633040215,0.9929144593411464,,0.9793144465009083,0.9864318052262975,0.9841348941281053,0.9746201762287358,0.9909318242958655,0.9914529740168706,,0.9887126400278459,0.9920312286024813,0.9887126400278459,0.9957828322865498,,0.9966209143351615,0.9642342881517811,0.9785588316283474,0.9771930096387549
FS_Method:infgain,0.9563740232366893,0.9688915786464781,0.9604971690517421,0.9159947625878994,0.7513304313955284,0.9944299498646348,,0.9964246617129848,0.9935617382207071,0.9938245030563575,0.9793144465009083,,0.998923403790078,0.999635670124648,0.9990747090606196,,,0.9895751860841144,0.9984889487126163,0.996612157065587,0.9984889487126163,0.9933464987000392,0.9749838141924189,0.9604755167291598,0.9971060048846259,0.9999810003514433,0.9635314993815671
FeatureNum:5.0,0.9535317422453359,0.9700091322269085,0.9484305725148154,0.8979580510980126,0.7249140811350343,0.9977668948904235,0.9959569147643025,,,,0.9864318052262975,0.998923403790078,,0.9997783460552506,0.9971273061275451,0.9994681738041747,0.9993136278772571,0.9946659777241192,0.9997021567176982,0.9987944009221345,0.9997021567176982,0.997173936059874,0.9832821353647262,0.9704664608754139,,0.9987686595101287,0.9662620914113516
Norm_Order:first,0.9543068717908667,0.9693418134026155,0.9531042474969135,0.9050496744233941,0.7347198878897122,0.9967608054682167,0.995570122192018,0.9981524105937216,0.9957265635463516,0.995570122192018,0.9841348941281053,0.999635670124648,0.9997783460552506,,0.9980841440356338,0.9988781281377115,0.9987736492076461,0.9930246154450693,0.9995142612260788,,0.9995142612260788,0.9960380266388202,0.9803345277591403,0.967074021820654,0.9955419858265346,0.9995143564000343,0.9659222636727318
Scaler:standard,0.9500691204158342,0.9610894735465397,0.9647245831553812,0.9239446319033076,0.7608189910843316,0.9920850989252481,0.9929164304013247,0.9943954386373265,0.9921819577752944,0.9929164304013247,0.9746201762287358,0.9990747090606196,0.9971273061275451,0.9980841440356338,,0.9954444256438896,0.9952231802099589,0.9856794208766536,0.99692289040881,0.9950342443885637,0.99692289040881,,0.9709855832641765,0.9555249854938401,0.9958618109653122,0.9993079335327442,0.9665486429692633
FS_Method:biMaxInfgain,0.944507389753674,0.9641383306151603,0.9385290253328447,0.8852565296569974,0.703291225790614,0.999398372291026,,0.9997506628570352,0.9986387084378773,0.9979856280215272,0.9909318242958655,,0.9994681738041747,0.9988781281377115,0.9954444256438896,,,0.9971926818193334,0.9998069466135481,0.9998097823344166,0.9998069466135481,0.9987600696020401,0.988459104482709,0.9775741938799489,0.9903324643801786,0.9971322093349273,0.9724142104334026
FS_Method:biMeanInfgain,0.9430634750413989,0.9630446933871731,0.937440073603267,0.8840763642566501,0.7008585334915055,0.9995182547571371,,0.9998811072696677,0.9988556004494514,0.9983045308357446,0.9914529740168706,,0.9993136278772571,0.9987736492076461,0.9952231802099589,,,0.9974164933786772,0.9997953217761577,0.9998823062100246,0.9997953217761577,0.9989222572943983,0.9888549660128977,0.9783456421933416,0.9898430182248567,0.9969706607259209,0.9734149600985621
ImblName:SMOTE,0.9300676105296557,0.9567825372913421,,,0.6506564137744507,0.998984257157482,0.9965543465500628,0.9978852394809693,0.9979740224555209,0.9965543465500628,,0.9895751860841144,0.9946659777241192,0.9930246154450693,0.9856794208766536,0.9971926818193334,0.9974164933786772,,0.9957899114462571,0.9974602260914858,0.9957899114462571,0.9995263658763444,,0.989728592149819,0.9787900879119579,0.9890193141950081,0.9740754633626286
Model:random_forest,0.9462496855674603,0.9642734193406293,0.9441259411662822,0.8933054376515513,0.7145902048659528,0.9987130767960256,0.9978234733257484,0.9995238479772782,0.9981037841183832,0.9978234733257484,0.9887126400278459,0.9984889487126163,0.9997021567176982,0.9995142612260788,0.99692289040881,0.9998069466135481,0.9997953217761577,0.9957899114462571,,0.9996011807860962,1.0,0.9978867218059502,0.9857068112332001,0.9741586455725445,0.9921626662555657,0.9983262542862819,0.9720261112853273
Norm_Order:last,0.9381548610149513,0.958871742505216,0.9351982330781733,0.8819140415505927,0.6957503429613134,0.9996442234872589,0.9990281873153982,0.999927996633134,0.9994205061928315,0.9990281873153982,0.9920312286024813,0.996612157065587,0.9987944009221345,,0.9950342443885637,0.9998097823344166,0.9998823062100246,0.9974602260914858,0.9996011807860962,,0.9996011807860966,0.9987247071095728,0.989747885183437,0.9797610308902103,0.9882681319879675,0.9964121023574988,0.9767415636268773
Random_State:42.0,0.9462496855674603,0.9642734193406293,0.9441259411662822,0.8933054376515513,0.7145902048659528,0.9987130767960256,0.9978234733257484,0.9995238479772782,0.9981037841183832,0.9978234733257484,0.9887126400278459,0.9984889487126163,0.9997021567176982,0.9995142612260788,0.99692289040881,0.9998069466135481,0.9997953217761577,0.9957899114462571,1.0,0.9996011807860966,,0.9978867218059502,0.9857068112332001,0.9741586455725445,0.9921626662555657,0.9983262542862819,0.9720261112853273
Scaler:minmax,0.9386704254645516,0.9624153266015028,0.9226479971598464,0.8637417221709652,0.6729375129545418,0.9995491798281355,0.9972372112530941,0.9991131500764344,0.9983573870600306,0.9972372112530941,0.9957828322865498,0.9933464987000392,0.997173936059874,0.9960380266388202,,0.9987600696020401,0.9989222572943983,0.9995263658763444,0.9978867218059502,0.9987247071095728,0.9978867218059502,,0.993312216544961,0.9850609968458794,0.9844689809776151,0.9928563787209722,0.9720330027689585
ImblName:ADASYN,0.8994762089202433,0.9340862654097593,,,0.587948131048144,0.9929766103598444,0.9908442362873875,0.9901359480057904,0.9928780611532099,0.9908442362873875,,0.9749838141924189,0.9832821353647262,0.9803345277591403,0.9709855832641765,0.988459104482709,0.9888549660128977,,0.9857068112332001,0.989747885183437,0.9857068112332001,0.993312216544961,,0.9978265683932773,0.9585815403443826,0.9743205701950423,0.9778895166745597
Prob_Threshold:0.35,0.8726571948965666,0.9130796468401413,0.8454618211883665,0.7708253709754251,,0.98425962359996,0.9828693800554957,0.980542956495956,0.9848191147736105,0.9828693800554957,0.9966209143351615,0.9604755167291598,0.9704664608754139,0.967074021820654,0.9555249854938401,0.9775741938799489,0.9783456421933416,0.989728592149819,0.9741586455725445,0.9797610308902103,0.9741586455725445,0.9850609968458794,0.9978265683932773,,0.9397704840624741,0.9595802328597518,0.9769758134930275
FeatureNum:4.0,0.9739593026463251,0.9797929171130706,0.9748570172203069,0.9350636398447073,0.7918495835670253,0.9850467956431559,0.9826191113555818,,,,0.9642342881517811,0.9971060048846259,,0.9955419858265346,0.9958618109653122,0.9903324643801786,0.9898430182248567,0.9787900879119579,0.9921626662555657,0.9882681319879675,0.9921626662555657,0.9844689809776151,0.9585815403443826,0.9397704840624741,,0.997160399537811,0.9410779959233664
