PipelinePart,PartValue,Metric,Value
FeatureNum,4.0,Accuracy,0.6764430014430014
FeatureNum,5.0,Accuracy,0.6829274891774891
FeatureNum,6.0,Accuracy,0.6819444444444445
FeatureNum,7.0,Accuracy,0.6815205627705628
FeatureNum,8.0,Accuracy,0.6833333333333333
FeatureNum,4.0,Macro_Precision,0.6851183153054956
FeatureNum,5.0,Macro_Precision,0.6986342257778636
FeatureNum,6.0,Macro_Precision,0.7031788157819475
FeatureNum,7.0,Macro_Precision,0.705604359351717
FeatureNum,8.0,Macro_Precision,0.707877577937186
FeatureNum,4.0,Macro_Recall,0.6900661008230453
FeatureNum,5.0,Macro_Recall,0.7026489197530864
FeatureNum,6.0,Macro_Recall,0.704985853909465
FeatureNum,7.0,Macro_Recall,0.7060082304526749
FeatureNum,8.0,Macro_Recall,0.7061026234567901
FeatureNum,4.0,Macro_F1,0.6595020412571297
FeatureNum,5.0,Macro_F1,0.6666910022483898
FeatureNum,6.0,Macro_F1,0.6660265169125527
FeatureNum,7.0,Macro_F1,0.6641890191625699
FeatureNum,8.0,Macro_F1,0.6654540472890385
FeatureNum,4.0,Weighted_Precision,0.7279262884396286
FeatureNum,5.0,Weighted_Precision,0.7426186147722139
FeatureNum,6.0,Weighted_Precision,0.7489603379992804
FeatureNum,7.0,Weighted_Precision,0.7518336901332957
FeatureNum,8.0,Weighted_Precision,0.7535288179517802
FeatureNum,4.0,Weighted_Recall,0.6764430014430014
FeatureNum,5.0,Weighted_Recall,0.6829274891774891
FeatureNum,6.0,Weighted_Recall,0.6819444444444445
FeatureNum,7.0,Weighted_Recall,0.6815205627705628
FeatureNum,8.0,Weighted_Recall,0.6833333333333333
FeatureNum,4.0,Weighted_F1,0.6742129868881545
FeatureNum,5.0,Weighted_F1,0.6785236448630763
FeatureNum,6.0,Weighted_F1,0.6767116324317756
FeatureNum,7.0,Weighted_F1,0.6740341599015258
FeatureNum,8.0,Weighted_F1,0.6758217259474503
FeatureNum,4.0,Micro_Precision,0.6764430014430014
FeatureNum,5.0,Micro_Precision,0.6829274891774891
FeatureNum,6.0,Micro_Precision,0.6819444444444445
FeatureNum,7.0,Micro_Precision,0.6815205627705628
FeatureNum,8.0,Micro_Precision,0.6833333333333333
FeatureNum,4.0,Micro_Recall,0.6764430014430014
FeatureNum,5.0,Micro_Recall,0.6829274891774891
FeatureNum,6.0,Micro_Recall,0.6819444444444445
FeatureNum,7.0,Micro_Recall,0.6815205627705628
FeatureNum,8.0,Micro_Recall,0.6833333333333333
FeatureNum,4.0,Micro_F1,0.6764430014430014
FeatureNum,5.0,Micro_F1,0.6829274891774891
FeatureNum,6.0,Micro_F1,0.6819444444444445
FeatureNum,7.0,Micro_F1,0.6815205627705628
FeatureNum,8.0,Micro_F1,0.6833333333333333
FeatureNum,4.0,Integrated_Score,0.68094552525581
FeatureNum,5.0,Integrated_Score,0.6893433687680318
FeatureNum,6.0,Integrated_Score,0.6899010009484962
FeatureNum,7.0,Integrated_Score,0.6896863299616081
FeatureNum,8.0,Integrated_Score,0.6912756012533822
FS_Method,biMaxInfgain,Accuracy,0.6793695887445887
FS_Method,biMeanInfgain,Accuracy,0.6788352272727273
FS_Method,infgain,Accuracy,0.6839218073593074
FS_Method,noSelect,Accuracy,0.6833333333333333
FS_Method,biMaxInfgain,Macro_Precision,0.6981578113810426
FS_Method,biMeanInfgain,Macro_Precision,0.6983646831937832
FS_Method,infgain,Macro_Precision,0.6978792925879419
FS_Method,noSelect,Macro_Precision,0.707877577937186
FS_Method,biMaxInfgain,Macro_Recall,0.7015109953703703
FS_Method,biMeanInfgain,Macro_Recall,0.7012060185185186
FS_Method,infgain,Macro_Recall,0.7000648148148148
FS_Method,noSelect,Macro_Recall,0.7061026234567901
FS_Method,biMaxInfgain,Macro_F1,0.6630595117311292
FS_Method,biMeanInfgain,Macro_F1,0.6627324166150204
FS_Method,infgain,Macro_F1,0.666514506339332
FS_Method,noSelect,Macro_F1,0.6654540472890385
FS_Method,biMaxInfgain,Weighted_Precision,0.7434483696064994
FS_Method,biMeanInfgain,Weighted_Precision,0.7438070752135837
FS_Method,infgain,Weighted_Precision,0.7412487536882307
FS_Method,noSelect,Weighted_Precision,0.7535288179517802
FS_Method,biMaxInfgain,Weighted_Recall,0.6793695887445887
FS_Method,biMeanInfgain,Weighted_Recall,0.6788352272727273
FS_Method,infgain,Weighted_Recall,0.6839218073593074
FS_Method,noSelect,Weighted_Recall,0.6833333333333333
FS_Method,biMaxInfgain,Weighted_F1,0.6740244381074025
FS_Method,biMeanInfgain,Weighted_F1,0.6736823916458313
FS_Method,infgain,Weighted_F1,0.6799049883101652
FS_Method,noSelect,Weighted_F1,0.6758217259474503
FS_Method,biMaxInfgain,Micro_Precision,0.6793695887445887
FS_Method,biMeanInfgain,Micro_Precision,0.6788352272727273
FS_Method,infgain,Micro_Precision,0.6839218073593074
FS_Method,noSelect,Micro_Precision,0.6833333333333333
FS_Method,biMaxInfgain,Micro_Recall,0.6793695887445887
FS_Method,biMeanInfgain,Micro_Recall,0.6788352272727273
FS_Method,infgain,Micro_Recall,0.6839218073593074
FS_Method,noSelect,Micro_Recall,0.6833333333333333
FS_Method,biMaxInfgain,Micro_F1,0.6793695887445887
FS_Method,biMeanInfgain,Micro_F1,0.6788352272727273
FS_Method,infgain,Micro_F1,0.6839218073593074
FS_Method,noSelect,Micro_F1,0.6833333333333333
FS_Method,biMaxInfgain,Integrated_Score,0.6866221456094064
FS_Method,biMeanInfgain,Integrated_Score,0.686334089840807
FS_Method,infgain,Integrated_Score,0.6894509332502461
FS_Method,noSelect,Integrated_Score,0.6912756012533822
Scaler,minmax,Accuracy,0.6758866133866134
Scaler,standard,Accuracy,0.6859348984348984
Scaler,minmax,Macro_Precision,0.6993949675968605
Scaler,standard,Macro_Precision,0.6983719134167176
Scaler,minmax,Macro_Recall,0.7032723171889839
Scaler,standard,Macro_Recall,0.6993784425451092
Scaler,minmax,Macro_F1,0.6627039491809567
Scaler,standard,Macro_F1,0.6657083255930379
Scaler,minmax,Weighted_Precision,0.7471608191754076
Scaler,standard,Weighted_Precision,0.7401538903607519
Scaler,minmax,Weighted_Recall,0.6758866133866134
Scaler,standard,Weighted_Recall,0.6859348984348984
Scaler,minmax,Weighted_F1,0.6721309346040371
Scaler,standard,Weighted_F1,0.6796027574268934
Scaler,minmax,Micro_Precision,0.6758866133866134
Scaler,standard,Micro_Precision,0.6859348984348984
Scaler,minmax,Micro_Recall,0.6758866133866134
Scaler,standard,Micro_Recall,0.6859348984348984
Scaler,minmax,Micro_F1,0.6758866133866134
Scaler,standard,Micro_F1,0.6859348984348984
Scaler,minmax,Integrated_Score,0.6855626883185195
Scaler,standard,Integrated_Score,0.6899610464592066
AugName,gaussian_noise,Accuracy,0.5807754745254745
AugName,mixup,Accuracy,0.7305319680319681
AugName,noAug,Accuracy,0.7314248251748252
AugName,gaussian_noise,Macro_Precision,0.629205568749771
AugName,mixup,Macro_Precision,0.7308541029994832
AugName,noAug,Macro_Precision,0.7365906497711129
AugName,gaussian_noise,Macro_Recall,0.6070176282051282
AugName,mixup,Macro_Recall,0.7451212606837607
AugName,noAug,Macro_Recall,0.7518372507122507
