Metric,Mean,Std
Accuracy,0.6809107559107559,0.09632374513919265
Macro_Precision,0.698883440506789,0.06655343984767505
Macro_Recall,0.7013253798670465,0.08196139468140193
Macro_F1,0.6642061373869973,0.10362388925718281
Weighted_Precision,0.7436573547680796,0.06773665120764938
Weighted_Recall,0.6809107559107559,0.09632374513919265
Weighted_F1,0.6758668460154651,0.11435637734716118
Micro_Precision,0.6809107559107559,0.09632374513919265
Micro_Recall,0.6809107559107559,0.09632374513919265
Micro_F1,0.6809107559107559,0.09632374513919263
Integrated_Score,0.6877618673888631,0.08878741387904557
