Metric,Mean,Std
Accuracy,0.6765968213884881,0.08917231867065735
Macro_Precision,0.6880553907774759,0.0677618849097593
Macro_Recall,0.6893027834933699,0.07556739123202665
Macro_F1,0.6597536484305228,0.09230177760777732
Weighted_Precision,0.7300972483847726,0.06712508110770364
Weighted_Recall,0.6765968213884881,0.08917231867065735
Weighted_F1,0.6741553789922236,0.10173875566011072
Micro_Precision,0.6765968213884881,0.08917231867065735
Micro_Recall,0.6765968213884881,0.08917231867065735
Micro_F1,0.6765968213884881,0.08917231867065734
Integrated_Score,0.681470624934369,0.08168726125573725
