Metric,Mean,Std
Accuracy,0.6689266751766751,0.08202285464207752
Macro_Precision,0.6769037185613498,0.06180778612179349
Macro_Recall,0.6772939814814816,0.0694330190853007
Macro_F1,0.6502299524458578,0.08470856556432482
Weighted_Precision,0.7183085535814375,0.061530031801663373
Weighted_Recall,0.6689266751766751,0.08202285464207752
Weighted_F1,0.6665724353141438,0.09378031842086573
Micro_Precision,0.6689266751766751,0.08202285464207752
Micro_Recall,0.6689266751766751,0.08202285464207752
Micro_F1,0.6689266751766751,0.08202285464207752
Integrated_Score,0.6723416535970971,0.07452667694875839
