Part_Label,Model:sklearn_SVM,AugName:noAug,AugName:mixup,Model:LogisticRegression,ImblName:TomekLinks,Random_State:42.0,Random_State:7.0,Prob_Threshold:0.5,ImblName:noImbl,Split_Ratio:0.1
Model:sklearn_SVM,,0.9670241888408797,0.946002672273175,,0.8654460121743802,0.9940395047823488,0.9941629301144446,0.8971061705499491,0.788737342117995,0.9928695244022325
AugName:noAug,0.9670241888408797,,,0.9328896064181132,0.8682353817929377,0.9680613709820849,0.9560640209491958,0.9042320021051421,0.7742376239376364,0.9627918972768951
AugName:mixup,0.946002672273175,,,0.8818205457018446,0.9244593272840544,0.9333143572183098,0.9192686881962162,0.9507274428994598,0.847665323971332,0.9253533071081473
Model:LogisticRegression,,0.9328896064181132,0.8818205457018446,,0.7440468890581614,0.9916469738431258,0.9949178785397689,0.7874318350043994,0.6478329237454414,0.9943789220473789
ImblName:TomekLinks,0.8654460121743802,0.8682353817929377,0.9244593272840544,0.7440468890581614,,0.8135368519305389,0.8067056768354014,0.9969588686200578,,0.8033817603987018
Random_State:42.0,0.9940395047823488,0.9680613709820849,0.9333143572183098,0.9916469738431258,0.8135368519305389,,,0.8525258728360423,0.7220035146587571,0.9997150263966972
Random_State:7.0,0.9941629301144446,0.9560640209491958,0.9192686881962162,0.9949178785397689,0.8067056768354014,,,0.8448832974478246,0.718639082773553,0.9993967838369664
Prob_Threshold:0.5,0.8971061705499491,0.9042320021051421,0.9507274428994598,0.7874318350043994,0.9969588686200578,0.8525258728360423,0.8448832974478246,,0.9701379792225125,0.8430117481403524
ImblName:noImbl,0.788737342117995,0.7742376239376364,0.847665323971332,0.6478329237454414,,0.7220035146587571,0.718639082773553,0.9701379792225125,,0.711360490883611
Split_Ratio:0.1,0.9928695244022325,0.9627918972768951,0.9253533071081473,0.9943789220473789,0.8033817603987018,0.9997150263966972,0.9993967838369664,0.8430117481403524,0.711360490883611,
