Metric,Mean,Std
Accuracy,0.6548638861138861,0.07798755012013772
Macro_Precision,0.6633703430374509,0.059697427088595954
Macro_Recall,0.6653448480531814,0.06661896762767894
Macro_F1,0.6369232748968147,0.08117604227362826
Weighted_Precision,0.7064114006521619,0.061838497217535385
Weighted_Recall,0.6548638861138861,0.07798755012013772
Weighted_F1,0.6529710467761178,0.09075512538780449
Micro_Precision,0.6548638861138861,0.07798755012013772
Micro_Recall,0.6548638861138861,0.07798755012013772
Micro_F1,0.654863886113886,0.07798755012013772
Integrated_Score,0.6589423618707736,0.07120971477461971
