Detail,MeanImportance,StdImportance,Rank
AugName_gaussian_noise,0.3330652568441461,0.06108404054680452,1
Model_DTmodel,0.16285752265632764,0.09647544345514145,2
Prob_Threshold,0.06104956884357904,0.028994282572499502,3
FeatureNum,0.056982935526957136,0.009568903883319494,4
Split_Ratio,0.049733513657688654,0.009501444772026014,5
ImblName_ADASYN,0.03880179738626683,0.023793490563149357,6
ImblName_RandomUnderSampler,0.029103603957975233,0.016002588722642184,7
Model_random_forest,0.026663854463466235,0.005238960707690472,8
Model_LogisticRegression,0.02408787975660509,0.009483997055956645,9
ImblName_SMOTE,0.02384011604811948,0.011342264760658827,10
