Part_Label,Split_Ratio:0.1,ImblName:ADASYN,Model:XGBmodel,Model:random_forest,Model:GradientBoosting,ImblName:SMOTE,Scaler:standard,Prob_Threshold:0.35,FeatureNum:7.0,FS_Method:biMeanInfgain
Split_Ratio:0.1,,0.971680336997592,0.9987868102523576,0.9949293870260694,0.997684131547445,0.9876319441948621,0.9953631988840435,0.979326895146528,0.9998686986791067,0.9998157233887249
ImblName:ADASYN,0.971680336997592,,0.9804971705130777,0.9900131194386492,0.9845810268162785,,0.9518762066207173,0.9993182323625346,0.9721488385404374,0.9750065382134233
Model:XGBmodel,0.9987868102523576,0.9804971705130777,,,,0.9919336947342479,0.992780261632357,0.9864939512789717,0.9989685318543396,0.999387643622877
Model:random_forest,0.9949293870260694,0.9900131194386492,,,,0.9967467431595415,0.9851310677044984,0.994103924644542,0.9952368565426973,0.996350196834555
Model:GradientBoosting,0.997684131547445,0.9845810268162785,,,,0.9942911230515845,0.9900068177546351,0.9898192760083526,0.9978631047574932,0.9985643432951685
ImblName:SMOTE,0.9876319441948621,,0.9919336947342479,0.9967467431595415,0.9942911230515845,,0.9703892577432193,0.9978693151905755,0.987315324342551,0.9892626981181892
Scaler:standard,0.9953631988840435,0.9518762066207173,0.992780261632357,0.9851310677044984,0.9900068177546351,0.9703892577432193,,0.9616941368034707,0.9961463503331203,0.9950382904391946
Prob_Threshold:0.35,0.979326895146528,0.9993182323625346,0.9864939512789717,0.994103924644542,0.9898192760083526,0.9978693151905755,0.9616941368034707,,0.9797618214729606,0.9821828992654525
FeatureNum:7.0,0.9998686986791067,0.9721488385404374,0.9989685318543396,0.9952368565426973,0.9978631047574932,0.987315324342551,0.9961463503331203,0.9797618214729606,,0.9999167865919356
FS_Method:biMeanInfgain,0.9998157233887249,0.9750065382134233,0.999387643622877,0.996350196834555,0.9985643432951685,0.9892626981181892,0.9950382904391946,0.9821828992654525,0.9999167865919356,
