Metric,Mean,Std
Accuracy,0.6135749666999667,0.10668682970581683
Macro_Precision,0.6501872844609368,0.0786404823578545
Macro_Recall,0.6308425629154796,0.08240512939246632
Macro_F1,0.5862975604984298,0.10813886989919927
Weighted_Precision,0.6958212996315407,0.07985449766126355
Weighted_Recall,0.6135749666999667,0.10668682970581683
Weighted_F1,0.598479504546034,0.12597846130299845
Micro_Precision,0.6135749666999667,0.10668682970581683
Micro_Recall,0.6135749666999667,0.10668682970581683
Micro_F1,0.6135749666999667,0.10668682970581683
Integrated_Score,0.6208316611374518,0.09378224278735989
