Metric,Mean,Std
Accuracy,0.7237783050283051,0.04101196802953003
Macro_Precision,0.7198201846145572,0.04184285063161942
Macro_Recall,0.7318529202279201,0.04791113693673476
Macro_F1,0.7104910820978882,0.042910149055714615
Weighted_Precision,0.7595942610518535,0.045494222492369465
Weighted_Recall,0.7237783050283051,0.04101196802953002
Weighted_F1,0.727077111263696,0.0411419849917973
Micro_Precision,0.7237783050283051,0.04101196802953003
Micro_Recall,0.7237783050283051,0.04101196802953003
Micro_F1,0.7237783050283051,0.041011968029530006
Integrated_Score,0.7262732876049925,0.040359866559392166
