Metric,Mean,Std
Accuracy,0.6426282051282052,0.08361756995536901
Macro_Precision,0.6243415233885927,0.0805778162205858
Macro_Recall,0.6291200735992403,0.08398860942224896
Macro_F1,0.6203187682445953,0.08409253502000928
Weighted_Precision,0.6618351463379102,0.07612491930146646
Weighted_Recall,0.6426282051282052,0.08361756995536901
Weighted_F1,0.646211448802851,0.08189405317891928
Micro_Precision,0.6426282051282052,0.08361756995536901
Micro_Recall,0.6426282051282052,0.08361756995536901
Micro_F1,0.6426282051282052,0.083617569955369
Integrated_Score,0.6385604889409732,0.08188075748140121
