Metric,Mean,Std
Accuracy,0.6862314768564769,0.08724293018706565
Macro_Precision,0.6972556213661675,0.06568161213797877
Macro_Recall,0.6989645061728396,0.07795801033675946
Macro_F1,0.6687968497744455,0.09249575171801529
Weighted_Precision,0.73961553149508,0.06665484275137583
Weighted_Recall,0.6862314768564769,0.08724293018706565
Weighted_F1,0.6834333222433928,0.10046507165191056
Micro_Precision,0.6862314768564769,0.08724293018706565
Micro_Recall,0.6862314768564769,0.08724293018706565
Micro_F1,0.6862314768564769,0.08724293018706564
Integrated_Score,0.6909106824486749,0.08055269574124609
