Part_Label,AugName:gaussian_noise,Model:DTmodel,ImblName:TomekLinks,ImblName:noImbl,Prob_Threshold:0.5,AugName:mixup,AugName:noAug,Model:sklearn_SVM,Model:LogisticRegression,FeatureNum:4.0,FeatureNum:5.0,Norm_Order:first,Scaler:standard,FS_Method:biMaxInfgain,FS_Method:biMeanInfgain,FS_Method:infgain,FeatureNum:6.0,Model:XGBmodel,Random_State:7.0,Split_Ratio:0.1,Split_Ratio:0.2,ImblName:ADASYN,Prob_Threshold:0.35,ImblName:RandomUnderSampler,ImblName:SMOTE,FS_Method:noSelect,FeatureNum:7.0,FeatureNum:8.0,Model:GradientBoosting,Model:random_forest,Norm_Order:last,Scaler:minmax
AugName:gaussian_noise,,0.5314890027180215,0.7166339575662324,0.6610537983199405,0.7616202820335878,,,0.9557625820955904,0.9905430545278513,0.9656543489200226,0.9713774568493824,0.9557351913038259,0.9784946651148722,0.9704156132146743,0.9735548340782358,0.9618415799672078,0.9643915577013231,0.9749140896245612,0.9693261309612313,0.9757399089748454,0.9615388836328002,0.9838377832637496,0.9828478224177728,0.9734287926980307,0.9728669030260887,0.9715085004895435,0.9727854481782426,0.9715085004895435,0.9803163807810411,0.9840878100429279,0.9781673428024545,0.9575119525646524
Model:DTmodel,0.5314890027180215,,0.9574102563651409,0.941602729874943,0.9487225040788997,0.8951817594147625,0.8129995058142713,,,0.7100862614602728,0.682935490927486,0.7427906302190612,0.6764585082301369,0.6940615944283738,0.6857889879993166,0.7292766874081601,0.7265696611871199,,0.7015572756494836,0.6869348073087973,0.7166690147415707,0.5431691239378448,0.5411591887510205,0.5512722063579688,0.6083094477664296,0.685751368659739,0.6927424710507207,0.685751368659739,,,0.6643808505674441,0.7274088789062891
ImblName:TomekLinks,0.7166339575662324,0.9574102563651409,,,0.9960192015456525,0.9235927777640913,0.8666766597427696,0.8857539902050429,0.7449299416219376,0.8329077405831197,0.8103536090955694,0.8590283955285171,0.8135869572783065,0.8214265776865926,0.8163513209705943,0.8507650233857967,0.8518172501104927,0.7805636628132473,0.8282565190434762,0.8209364682016729,0.835388594178429,,0.6919978853178769,,,0.8134651718003393,0.8231762252046648,0.8134651718003393,0.7719582029971042,0.742686494079317,0.7996462018406229,0.8425571574046561
ImblName:noImbl,0.6610537983199405,0.941602729874943,,,0.9746309889621998,0.8612034200165377,0.7914270705465594,0.8381892410163896,0.6773464590754217,0.7682669020548946,0.7426361411312866,0.7979064551903896,0.7505714528902256,0.7559103379566094,0.7511541769291998,0.7897435356806826,0.7924501328363767,0.7086666216290087,0.7640395010621511,0.7582668479218108,0.7695633058476007,,0.614439584410653,,,0.7465380258998345,0.7593722467448563,0.7465380258998345,0.7011510293786447,0.6699401736819073,0.7329708454425778,0.7771618376444619
Prob_Threshold:0.5,0.7616202820335878,0.9487225040788997,0.9960192015456525,0.9746309889621998,,0.9526444791236577,0.9075730152162451,0.9170893508385165,0.7939099641467653,0.8751525013765404,0.8553372805668852,0.8979154513479484,0.8565557607328265,0.8648094496335691,0.8599872409968069,0.8902987160202604,0.8906222785339212,0.8289839032716325,0.8706782853199831,0.8632967359218208,0.8778380984184959,0.7500280845609355,,0.7482657823933261,0.7932738906729508,0.8579452216456154,0.8658038934813136,0.8579452216456154,0.8205698022248225,0.7936890439897364,0.8449633739904283,0.8843038473051744
AugName:mixup,,0.8951817594147625,0.9235927777640913,0.8612034200165377,0.9526444791236577,,,0.9341433821655986,0.8663508302408318,0.9336744177631146,0.922349294829346,0.946639574806508,0.912958683172598,0.9260610520536418,0.9209892450944899,0.9394689448241813,0.9359925643319887,0.9074063795443919,0.9285829943870032,0.9184242312863209,0.938681315514123,0.8467293520003889,0.8460444769399179,0.8567933140652373,0.8894702086721592,0.9229888502637197,0.9231935408173823,0.9229888502637197,0.8974283810926681,0.8771185388556557,0.910536814652774,0.9437245820943412
AugName:noAug,,0.8129995058142713,0.8666766597427696,0.7914270705465594,0.9075730152162451,,,0.9531216175569177,0.9238275114852554,0.9684595920291597,0.9632005394519224,0.9736789864423554,0.9534348349394799,0.9640553873951665,0.9605294283391952,0.9692632971255924,0.9656036446096461,0.9554465158739227,0.9648066747043487,0.956959965656805,0.9723820465489996,0.9143630687063193,0.9142562300203217,0.9245075954018038,0.9466072410848426,0.9630962928715113,0.960945560044602,0.9630962928715113,0.9480337470263152,0.9344270227801199,0.9544939958631822,0.9752682577172047
Model:sklearn_SVM,0.9557625820955904,,0.8857539902050429,0.8381892410163896,0.9170893508385165,0.9341433821655986,0.9531216175569177,,,0.9905982047801152,0.9854401175336436,0.9943674306353083,0.9888906577769434,0.9886314122408844,0.9882272789921551,0.9944380914592944,0.995495727087872,,0.990461588199234,0.9904529017986713,0.9895721435784349,0.9462642723939173,0.9448250149615479,0.9409108616173022,0.9602632929606216,0.9865400588205343,0.9900954889160186,0.9865400588205343,,,0.9843136199429586,0.9902487637591005
Model:LogisticRegression,0.9905430545278513,,0.7449299416219376,0.6773464590754217,0.7939099641467653,0.8663508302408318,0.9238275114852554,,,0.987050545167944,0.9915875732857374,0.978627823890863,0.9929524222073789,0.9898586781611657,0.9916519762732356,0.9825950224776716,0.9827548956263757,,0.988778894191529,0.9916645996581256,0.9847737218981696,0.9955763886764027,0.9952912619742603,0.9922041736979145,0.9940979242767471,0.9913829235545852,0.9904714054575043,0.9913829235545852,,,0.9946297494170483,0.9823419807884696
FeatureNum:4.0,0.9656543489200226,0.7100862614602728,0.8329077405831197,0.7682669020548946,0.8751525013765404,0.9336744177631146,0.9684595920291597,0.9905982047801152,0.987050545167944,,,0.9987851827009929,0.9983717521691023,0.9996655504114388,0.9993646650201746,0.9994004704369084,,0.9955670653965031,0.9998693332471057,0.9990762473107138,0.999816148353013,0.9761668330857753,0.9754837717119118,0.9754635070817737,0.9882308184616115,0.9993765184267289,,,0.9944562515851301,0.9882834025669048,0.9979523284969012,0.999558796626013
