Metric,Mean,Std
Accuracy,0.6745199245199246,0.09300961860135216
Macro_Precision,0.6879229726787269,0.05999981370657082
Macro_Recall,0.6868029044001266,0.06934976710303883
Macro_F1,0.6562188180497178,0.09537089711831045
Weighted_Precision,0.7286676776393759,0.05654281378240076
Weighted_Recall,0.6745199245199246,0.09300961860135216
Weighted_F1,0.6700134798629466,0.10848507919265579
Micro_Precision,0.6745199245199246,0.09300961860135216
Micro_Recall,0.6745199245199246,0.09300961860135216
Micro_F1,0.6745199245199246,0.09300961860135215
Integrated_Score,0.6790821699666922,0.08267535986967084
