Detail,MeanImportance,StdImportance,Rank
AugName_gaussian_noise,0.254513464060285,0.06018941285954857,1
Model_DTmodel,0.1444910807408245,0.0710094655690779,2
Random_State,0.10597829620270349,0.02817489044029033,3
Prob_Threshold,0.06531782338048912,0.03808480560529302,4
FeatureNum,0.052505002672431966,0.008541740462773454,5
Split_Ratio,0.048609370004436624,0.010592060924191037,6
ImblName_TomekLinks,0.048092040591464845,0.031714585992673745,7
ImblName_noImbl,0.039672755096449394,0.021321640763212094,8
Model_random_forest,0.03479865276338351,0.012643832439350463,9
Model_sklearn_SVM,0.024298194961278958,0.010191386317352493,10
