Cluster,Part
1,AugName:gaussian_noise
4,AugName:mixup
4,AugName:noAug
4,Model:sklearn_SVM
4,Random_State:126.0
8,FS_Method:biMaxInfgain
8,FS_Method:biMeanInfgain
8,FS_Method:infgain
8,FeatureNum:4.0
8,FeatureNum:5.0
8,FeatureNum:6.0
8,Model:GradientBoosting
8,Model:XGBmodel
8,Norm_Order:first
8,Scaler:standard
8,Split_Ratio:0.1
10,FS_Method:noSelect
10,FeatureNum:7.0
10,FeatureNum:8.0
10,Norm_Order:last
10,Random_State:5012.0
10,Scaler:minmax
10,Split_Ratio:0.2
6,ImblName:ADASYN
6,ImblName:RandomUnderSampler
6,Prob_Threshold:0.35
9,ImblName:SMOTE
9,Model:random_forest
3,ImblName:TomekLinks
3,ImblName:noImbl
3,Prob_Threshold:0.5
2,Model:DTmodel
5,Model:LogisticRegression
7,Random_State:23.0
