Part_Label,AugName:gaussian_noise,Model:DTmodel,ImblName:TomekLinks,ImblName:noImbl,Prob_Threshold:0.5,AugName:mixup,AugName:noAug,Model:sklearn_SVM,Random_State:126.0,Model:LogisticRegression,ImblName:ADASYN,ImblName:RandomUnderSampler,Prob_Threshold:0.35,Random_State:23.0,FS_Method:biMaxInfgain,FS_Method:biMeanInfgain,FS_Method:infgain,FeatureNum:4.0,FeatureNum:5.0,FeatureNum:6.0,Model:GradientBoosting,Model:XGBmodel,Norm_Order:first,Scaler:standard,Split_Ratio:0.1,ImblName:SMOTE,Model:random_forest,FS_Method:noSelect,FeatureNum:7.0,FeatureNum:8.0,Norm_Order:last,Random_State:5012.0,Scaler:minmax,Split_Ratio:0.2
AugName:gaussian_noise,,0.5262698070413818,0.6840127312712603,0.6139599451212653,0.7312509254227758,,,0.964329730825381,0.9757825395199328,0.9940355681473068,0.9812916259841276,0.9708188935865283,0.980246907887819,0.9670800841369835,0.9676236966523718,0.9684399628019267,0.9633903069412795,0.9612824367297104,0.9692688707923626,0.9648022133863652,0.9764584328814044,0.9730686963502342,0.9513878197651277,0.9777840917605001,0.9712649770992089,0.9720374291460347,0.9789081109622539,0.9708722736266294,0.9702647448098083,0.9708722736266294,0.9775468668075634,0.9526242508894717,0.9490673594037035,0.9625559548446069
Model:DTmodel,0.5262698070413818,,0.9595551291182783,0.9351214407531712,0.9539499278648897,0.9082031053929228,0.8134507964242372,,0.6655157999076436,,0.5135396528596052,0.545569178037608,0.5193879183747114,0.7039504991445362,0.7000557823056762,0.6982944561960541,0.7257076955756336,0.7222491770263789,0.6896635898781351,0.721203845892028,,,0.7511682234765099,0.6588727643362884,0.6946387744934425,0.5955579554122622,,0.7007974549229617,0.6992008871223185,0.7007974549229617,0.6675109776764324,0.7545290418743401,0.7598840747414289,0.7205314986985187
ImblName:TomekLinks,0.6840127312712603,0.9595551291182783,,,0.9966903160891756,0.9230822242576255,0.8461509532858047,0.8436400616425401,0.7708416391123227,0.682255497111399,,,0.6371240472105029,0.803119926351983,0.7995266706069339,0.7984982789214082,0.8266989421239133,0.8177241674839083,0.7891584191565245,0.8231413059312129,0.7596974026641901,0.7774076651608048,0.842470590866034,0.7663395892021807,0.7985561348950044,,0.7337750168391911,0.8059749928699135,0.8029567455603568,0.8059749928699135,0.7758664173480706,0.8511073457155812,0.8519847315840201,0.8177467955928451
ImblName:noImbl,0.6139599451212653,0.9351214407531712,,,0.9729648418825252,0.8520654996219273,0.7562702188180545,0.778395801430133,0.6875880605987306,0.5991937169733428,,,0.5410059624037356,0.7233914122668357,0.7189895857797829,0.7181113188120916,0.7524913507594945,0.7394301402014734,0.7067997584413658,0.7483859637731065,0.6744848755634711,0.6941560298078245,0.7676658422635334,0.6832135114364114,0.7197277283628915,,0.6454983681246675,0.7291529986814087,0.7248084342525812,0.7291529986814087,0.6947838840755103,0.7802957347357369,0.7797293561306404,0.7399903415539242
Prob_Threshold:0.5,0.7312509254227758,0.9539499278648897,0.9966903160891756,0.9729648418825252,,0.9495670248624484,0.8862531334858093,0.8804245242770613,0.8174058463245607,0.733892070812963,0.6906013625098305,0.7068190313067266,,0.8466579709748763,0.8434380812300225,0.8424672917037651,0.8671381775816408,0.8598438414642894,0.8342673187526726,0.8639254347882307,0.8073065193319485,0.823415115269779,0.8817276437772439,0.813152157297171,0.8421549780288975,0.7497694810294498,0.7835792946304646,0.8485538495121261,0.8460360357863107,0.8485538495121261,0.8215642706644873,0.8886352593560282,0.8898462252262678,0.8596894307547687
AugName:mixup,,0.9082031053929228,0.9230822242576255,0.8520654996219273,0.9495670248624484,,,0.9282061551117512,0.907895601857152,0.8332512465950498,0.8192173571047155,0.8430636922347792,0.8235189757655843,0.9270228615683104,0.9256533738766907,0.9245149441577578,0.9342420356095384,0.9359055556492004,0.9211541521896943,0.9323947993061074,0.9026309035323095,0.9131151031296975,0.9483327320530824,0.9038502495757336,0.9211446523801656,0.873533454693834,0.8874220245998208,0.9228600924134682,0.9231989084716172,0.9228600924134682,0.9072949535627304,0.9464548005576972,0.9504829971915101,0.9346314758906757
AugName:noAug,,0.8134507964242372,0.8461509532858047,0.7562702188180545,0.8862531334858093,,,0.9562537712373428,0.9593822234833654,0.9072871906414057,0.9050230759415198,0.9250593914859958,0.9085412144264721,0.968821464727458,0.9685193748635047,0.9677249042485822,0.968523514312739,0.9730356799500055,0.9671735392050075,0.967819502475364,0.9571229543675052,0.9625588445532905,0.9770856069985031,0.956614666688471,0.9643900437312314,0.9445334665385254,0.9488112198867749,0.9637948979992108,0.9650523311361093,0.9637948979992108,0.9573220552105007,0.9722412420374119,0.9759345443012611,0.9717699951896163
Model:sklearn_SVM,0.964329730825381,,0.8436400616425401,0.778395801430133,0.8804245242770613,0.9282061551117512,0.9562537712373428,,0.9896672743519536,,0.9475640677173001,0.9497363250624977,0.9486292840907294,0.9944178560279219,0.9936374729367192,0.9937421273007008,0.9978596654801337,0.9954662730552247,0.9919001342346718,0.9975326593871954,,,0.9962610226952393,0.9891102909439128,0.9947300753383074,0.965863420520779,,0.9961570904450069,0.9952455039938205,0.9961570904450069,0.9914418147935109,0.997854520164749,0.9969192104772259,0.9958159347015281
Random_State:126.0,0.9757825395199328,0.6655157999076436,0.7708416391123227,0.6875880605987306,0.8174058463245607,0.907895601857152,0.9593822234833654,0.9896672743519536,,0.9879372267958617,0.9810817190303814,0.9842397109938091,0.9820682286900918,,0.9988499403807444,0.9989592784527376,0.9955618036331618,0.996797447273971,0.9994495856489503,0.996164933658412,0.999680505134296,0.99980856590657,0.9923353341487813,0.9999463963869785,0.9989685378750602,0.9929522301336929,0.9979069229292615,0.9982230379993274,0.9985923120089274,0.9982230379993274,0.9998554163464121,,0.9901503111634368,0.9969366135105021
Model:LogisticRegression,0.9940355681473068,,0.682255497111399,0.5991937169733428,0.733892070812963,0.8332512465950498,0.9072871906414057,,0.9879372267958617,,0.9947251984101733,0.9902791578490945,0.9944810777154923,0.9794319175233543,0.979993212669969,0.9806247945726874,0.9731106899814582,0.9740298174625832,0.9824686009265226,0.9743044262096849,,,0.9635584944738642,0.989305646583938,0.9819482124666745,0.9906139136811704,,0.9804524036650888,0.9805906776992254,0.9804524036650888,0.9880538980341603,0.9617104747974659,0.9600370834270406,0.9744836616820127
