Metric,Mean,Std
Accuracy,0.6981105699855701,0.09279300151175154
Macro_Precision,0.7104839178346599,0.07237705888282119
Macro_Recall,0.7075213798868313,0.07868843413301882
Macro_F1,0.6803318549784232,0.09453857914575407
Weighted_Precision,0.7494755359976261,0.06763114980524082
Weighted_Recall,0.6981105699855701,0.09279300151175154
Weighted_F1,0.6952261363938904,0.10232201098015506
Micro_Precision,0.6981105699855701,0.09279300151175154
Micro_Recall,0.6981105699855701,0.09279300151175154
Micro_F1,0.6981105699855701,0.09279300151175153
Integrated_Score,0.7023260100719867,0.0845542822311001
