Metric,Mean,Std
Accuracy,0.7002351814851816,0.0922720502958305
Macro_Precision,0.7089035359777349,0.07538361531132874
Macro_Recall,0.7068157051282051,0.08170285606267892
Macro_F1,0.6816461587949717,0.09440428223233459
Weighted_Precision,0.7472594966366359,0.0723197225354266
Weighted_Recall,0.7002351814851816,0.0922720502958305
Weighted_F1,0.6976501760905217,0.10071997990090874
Micro_Precision,0.7002351814851816,0.0922720502958305
Micro_Recall,0.7002351814851816,0.0922720502958305
Micro_F1,0.7002351814851816,0.0922720502958305
Integrated_Score,0.7032863966011541,0.08530801241464994
