Metric,Mean,Std
Accuracy,0.6391920579420579,0.08390305730300947
Macro_Precision,0.654039886117858,0.061267709910700026
Macro_Recall,0.6509804526748971,0.06464574476624439
Macro_F1,0.620271806672931,0.08435736492896447
Weighted_Precision,0.697206907337123,0.060360893812187746
Weighted_Recall,0.6391920579420579,0.08390305730300947
Weighted_F1,0.6354308569490482,0.09674697204548913
Micro_Precision,0.6391920579420579,0.08390305730300947
Micro_Recall,0.6391920579420579,0.08390305730300947
Micro_F1,0.6391920579420579,0.08390305730300945
Integrated_Score,0.6442549473331076,0.07431646346661153
