Part_Label,Model:sklearn_SVM,AugName:noAug,AugName:mixup,Model:LogisticRegression,ImblName:TomekLinks,ImblName:noImbl,Split_Ratio:0.1,Prob_Threshold:0.5,Norm_Order:first,FeatureNum:5.0
Model:sklearn_SVM,,0.9319848470860482,0.8945238149506018,,0.8122454153688996,0.7632594723333105,0.9962087717202897,0.8871956104169195,0.9932119953694406,0.9894285508630138
AugName:noAug,0.9319848470860482,,,0.8951630406609418,0.8328803830644604,0.7577864092486376,0.9403588291715486,0.9004542772360232,0.9634177882068344,0.9449641539995514
AugName:mixup,0.8945238149506018,,,0.8123462356474336,0.9282826723935388,0.8725674988357215,0.8869998460446852,0.9641152421112534,0.9181212163418775,0.8810416457141874
Model:LogisticRegression,,0.8951630406609418,0.8123462356474336,,0.6739254942531164,0.6115904774302491,0.9882618076553715,0.7740493120584173,0.9765573153694653,0.9909989961235979
ImblName:TomekLinks,0.8122454153688996,0.8328803830644604,0.9282826723935388,0.6739254942531164,,,0.7745585116494622,0.9886969797619718,0.8020100670673252,0.7467693571818561
ImblName:noImbl,0.7632594723333105,0.7577864092486376,0.8725674988357215,0.6115904774302491,,,0.7161833681564107,0.9655431657917385,0.7404812236185289,0.6816410507296511
Split_Ratio:0.1,0.9962087717202897,0.9403588291715486,0.8869998460446852,0.9882618076553715,0.7745585116494622,0.7161833681564107,,0.8588656854806622,0.9970354395788594,0.9981364284409978
Prob_Threshold:0.5,0.8871956104169195,0.9004542772360232,0.9641152421112534,0.7740493120584173,0.9886969797619718,0.9655431657917385,0.8588656854806622,,0.8820939113621301,0.8372248139766694
Norm_Order:first,0.9932119953694406,0.9634177882068344,0.9181212163418775,0.9765573153694653,0.8020100670673252,0.7404812236185289,0.9970354395788594,0.8820939113621301,,0.9959339397561269
FeatureNum:5.0,0.9894285508630138,0.9449641539995514,0.8810416457141874,0.9909989961235979,0.7467693571818561,0.6816410507296511,0.9981364284409978,0.8372248139766694,0.9959339397561269,
