Metric,Mean,Std
Accuracy,0.7061813186813186,0.05133531274074476
Macro_Precision,0.700276754231082,0.04210385032384167
Macro_Recall,0.7072325795346629,0.042267460721672444
Macro_F1,0.6904281431134504,0.04748362509073264
Weighted_Precision,0.7371636237681037,0.038057922419812464
Weighted_Recall,0.7061813186813186,0.05133531274074476
Weighted_F1,0.7089360279420646,0.05015920710094996
Micro_Precision,0.7061813186813186,0.05133531274074476
Micro_Recall,0.7061813186813186,0.05133531274074476
Micro_F1,0.7061813186813186,0.05133531274074475
Integrated_Score,0.7068444488842395,0.04560866179621539
