Metric,Mean,Std
Accuracy,0.6756283068783069,0.08955362061988936
Macro_Precision,0.680581522327437,0.06470210360312287
Macro_Recall,0.6764697359396433,0.07022652936427191
Macro_F1,0.6536125592981923,0.09019880253434301
Weighted_Precision,0.7179467745258976,0.05971262304429294
Weighted_Recall,0.6756283068783069,0.08955362061988936
Weighted_F1,0.6717199236094195,0.10041490535927189
Micro_Precision,0.6756283068783069,0.08955362061988936
Micro_Recall,0.6756283068783069,0.08955362061988936
Micro_F1,0.6756283068783068,0.08955362061988935
Integrated_Score,0.6765509984667621,0.07996723427369382
