Metric,Mean,Std
Accuracy,0.6468878343878344,0.09731755700321831
Macro_Precision,0.6713132077395206,0.06183316070163893
Macro_Recall,0.670616828901551,0.07133666036823992
Macro_F1,0.6322687468384502,0.1006561798568493
Weighted_Precision,0.7173324213966072,0.06110385503613983
Weighted_Recall,0.6468878343878344,0.09731755700321831
Weighted_F1,0.6418625305319794,0.11616242656403403
Micro_Precision,0.6468878343878344,0.09731755700321831
Micro_Recall,0.6468878343878344,0.09731755700321831
Micro_F1,0.6468878343878344,0.0973175570032183
Integrated_Score,0.655801071164466,0.08623322946203157
