Rank,Metric,Value,LogDir,Split_Ratio,P_th,R_St
1,M_P,0.8731,log/pimaindians_diabetes/5/biMeanInfgain/minmax__gaussian_noise__TomekLinks/XGBmodel,0.1,0.5,5012
1,M_R,0.8559,log/pimaindians_diabetes/5/biMaxInfgain/standard__noAug__RandomUnderSampler/sklearn_SVM,0.1,0.5,5012
1,M_F1,0.8468,log/pimaindians_diabetes/5/biMaxInfgain/standard__noAug__RandomUnderSampler/sklearn_SVM,0.1,0.5,5012
1,m_P,0.8571,log/pimaindians_diabetes/7/infgain/standard__noAug__SMOTE/sklearn_SVM,0.1,0.5,5012
1,m_R,0.8571,log/pimaindians_diabetes/7/infgain/standard__noAug__SMOTE/sklearn_SVM,0.1,0.5,5012
1,m_F1,0.8571,log/pimaindians_diabetes/7/infgain/standard__noAug__SMOTE/sklearn_SVM,0.1,0.5,5012
1,W_P,0.8629,log/pimaindians_diabetes/5/biMeanInfgain/standard__noAug__RandomUnderSampler/sklearn_SVM,0.1,0.5,5012
1,W_R,0.8571,log/pimaindians_diabetes/7/infgain/standard__noAug__SMOTE/sklearn_SVM,0.1,0.5,5012
1,W_F1,0.8587,log/pimaindians_diabetes/5/biMeanInfgain/standard__noAug__RandomUnderSampler/sklearn_SVM,0.1,0.5,5012
1,Acc,0.8571,log/pimaindians_diabetes/7/infgain/standard__noAug__SMOTE/sklearn_SVM,0.1,0.5,5012
2,M_P,0.8676,log/pimaindians_diabetes/6/infgain/gaussian_noise__TomekLinks__standard/sklearn_SVM,0.1,0.5,5012
2,M_R,0.8559,log/pimaindians_diabetes/5/biMeanInfgain/standard__noAug__RandomUnderSampler/sklearn_SVM,0.1,0.5,5012
2,M_F1,0.8468,log/pimaindians_diabetes/5/biMeanInfgain/standard__noAug__RandomUnderSampler/sklearn_SVM,0.1,0.5,5012
2,m_P,0.8571,log/pimaindians_diabetes/5/biMaxInfgain/standard__noAug__RandomUnderSampler/sklearn_SVM,0.1,0.5,5012
2,m_R,0.8571,log/pimaindians_diabetes/5/biMaxInfgain/standard__noAug__RandomUnderSampler/sklearn_SVM,0.1,0.5,5012
2,m_F1,0.8571,log/pimaindians_diabetes/5/biMaxInfgain/standard__noAug__RandomUnderSampler/sklearn_SVM,0.1,0.5,5012
2,W_P,0.8629,log/pimaindians_diabetes/5/biMaxInfgain/standard__noAug__RandomUnderSampler/sklearn_SVM,0.1,0.5,5012
2,W_R,0.8571,log/pimaindians_diabetes/5/biMaxInfgain/standard__noAug__RandomUnderSampler/sklearn_SVM,0.1,0.5,5012
2,W_F1,0.8587,log/pimaindians_diabetes/5/biMaxInfgain/standard__noAug__RandomUnderSampler/sklearn_SVM,0.1,0.5,5012
2,Acc,0.8571,log/pimaindians_diabetes/5/biMaxInfgain/standard__noAug__RandomUnderSampler/sklearn_SVM,0.1,0.5,5012
3,M_P,0.8623,log/pimaindians_diabetes/6/infgain/gaussian_noise__noImbl__standard/sklearn_SVM,0.1,0.5,5012
3,M_R,0.8474,log/pimaindians_diabetes/7/infgain/standard__noAug__SMOTE/sklearn_SVM,0.1,0.5,5012
3,M_F1,0.8444,log/pimaindians_diabetes/7/infgain/standard__noAug__SMOTE/sklearn_SVM,0.1,0.5,5012
3,m_P,0.8571,log/pimaindians_diabetes/5/biMeanInfgain/standard__noAug__RandomUnderSampler/sklearn_SVM,0.1,0.5,5012
3,m_R,0.8571,log/pimaindians_diabetes/5/biMeanInfgain/standard__noAug__RandomUnderSampler/sklearn_SVM,0.1,0.5,5012
3,m_F1,0.8571,log/pimaindians_diabetes/5/biMeanInfgain/standard__noAug__RandomUnderSampler/sklearn_SVM,0.1,0.5,5012
3,W_P,0.8586,log/pimaindians_diabetes/7/infgain/standard__noAug__SMOTE/sklearn_SVM,0.1,0.5,5012
3,W_R,0.8571,log/pimaindians_diabetes/5/biMeanInfgain/standard__noAug__RandomUnderSampler/sklearn_SVM,0.1,0.5,5012
3,W_F1,0.8577,log/pimaindians_diabetes/7/infgain/standard__noAug__SMOTE/sklearn_SVM,0.1,0.5,5012
3,Acc,0.8571,log/pimaindians_diabetes/5/biMeanInfgain/standard__noAug__RandomUnderSampler/sklearn_SVM,0.1,0.5,5012
4,M_P,0.8521,log/pimaindians_diabetes/4/infgain/gaussian_noise__TomekLinks__standard/sklearn_SVM,0.1,0.5,5012
4,M_R,0.8359,log/pimaindians_diabetes/5/infgain/standard__mixup__ADASYN/sklearn_SVM,0.1,0.5,5012
4,M_F1,0.8289,log/pimaindians_diabetes/6/biMeanInfgain/standard__mixup__TomekLinks/XGBmodel,0.1,0.5,5012
4,m_P,0.8442,log/pimaindians_diabetes/6/biMeanInfgain/standard__mixup__TomekLinks/XGBmodel,0.1,0.5,5012
4,m_R,0.8442,log/pimaindians_diabetes/6/biMeanInfgain/standard__mixup__TomekLinks/XGBmodel,0.1,0.5,5012
4,m_F1,0.8442,log/pimaindians_diabetes/6/biMeanInfgain/standard__mixup__TomekLinks/XGBmodel,0.1,0.5,5012
4,W_P,0.8442,log/pimaindians_diabetes/6/biMeanInfgain/standard__mixup__TomekLinks/XGBmodel,0.1,0.5,5012
4,W_R,0.8442,log/pimaindians_diabetes/6/biMeanInfgain/standard__mixup__TomekLinks/XGBmodel,0.1,0.5,5012
4,W_F1,0.8442,log/pimaindians_diabetes/6/biMeanInfgain/standard__mixup__TomekLinks/XGBmodel,0.1,0.5,5012
4,Acc,0.8442,log/pimaindians_diabetes/6/biMeanInfgain/standard__mixup__TomekLinks/XGBmodel,0.1,0.5,5012
5,M_P,0.8521,log/pimaindians_diabetes/6/biMaxInfgain/standard__gaussian_noise__TomekLinks/sklearn_SVM,0.1,0.5,5012
5,M_R,0.8344,log/pimaindians_diabetes/5/biMaxInfgain/standard__gaussian_noise__SMOTE/sklearn_SVM,0.1,0.5,5012
5,M_F1,0.8214,log/pimaindians_diabetes/5/infgain/standard__mixup__ADASYN/sklearn_SVM,0.1,0.5,5012
5,m_P,0.8312,log/pimaindians_diabetes/5/biMeanInfgain/mixup__SMOTE__minmax/XGBmodel,0.1,0.35,5012
5,m_R,0.8312,log/pimaindians_diabetes/5/biMeanInfgain/mixup__SMOTE__minmax/XGBmodel,0.1,0.35,5012
5,m_F1,0.8312,log/pimaindians_diabetes/5/biMeanInfgain/mixup__SMOTE__minmax/XGBmodel,0.1,0.35,5012
5,W_P,0.8437,log/pimaindians_diabetes/5/infgain/standard__mixup__ADASYN/sklearn_SVM,0.1,0.5,5012
5,W_R,0.8312,log/pimaindians_diabetes/5/biMeanInfgain/mixup__SMOTE__minmax/XGBmodel,0.1,0.35,5012
5,W_F1,0.8339,log/pimaindians_diabetes/5/infgain/standard__mixup__ADASYN/sklearn_SVM,0.1,0.5,5012
5,Acc,0.8312,log/pimaindians_diabetes/5/biMeanInfgain/mixup__SMOTE__minmax/XGBmodel,0.1,0.35,5012
