Metric,Mean,Std
Accuracy,0.7459716209716211,0.04806841693995676
Macro_Precision,0.7258909836323204,0.05199809160257019
Macro_Recall,0.7244778806584362,0.054776994177653
Macro_F1,0.7213277282404151,0.05274086422704859
Weighted_Precision,0.7516481556418356,0.048180346171451574
Weighted_Recall,0.7459716209716211,0.04806841693995676
Weighted_F1,0.745454392027688,0.047954329761181365
Micro_Precision,0.7459716209716211,0.04806841693995676
Micro_Recall,0.7459716209716211,0.04806841693995676
Micro_F1,0.7459716209716211,0.048068416939956754
Integrated_Score,0.7386076684221229,0.049316378354024755
