Metric,Mean,Std
Accuracy,0.7393227914061248,0.05061212120530986
Macro_Precision,0.7194180862132628,0.05592656123153416
Macro_Recall,0.7179911122542295,0.05654613072715017
Macro_F1,0.7145902705343531,0.054608272643929395
Weighted_Precision,0.745941181602746,0.05131016305971539
Weighted_Recall,0.7393227914061248,0.05061212120530986
Weighted_F1,0.7390283938049599,0.049953360990090526
Micro_Precision,0.7393227914061248,0.05061212120530986
Micro_Recall,0.7393227914061248,0.05061212120530986
Micro_F1,0.7393227914061248,0.05061212120530985
Integrated_Score,0.7321069542203705,0.05178417793686225
