Part_Label,FS_Method:noSelect,FeatureNum:7.0,FeatureNum:8.0,Scaler:minmax,Split_Ratio:0.2,Model:random_forest,Prob_Threshold:0.35,AugName:noAug,FS_Method:biMaxInfgain,FS_Method:infgain,FeatureNum:4.0,FeatureNum:6.0,ImblName:noImbl,Norm_Order:first,Norm_Order:last,Prob_Threshold:0.5,FeatureNum:5.0,Model:GradientBoosting,Scaler:standard,Split_Ratio:0.1,Model:LogisticRegression,Model:sklearn_SVM,Model:XGBmodel,Model:DTmodel
FS_Method:noSelect,,0.999170117293505,1.0,0.999503713107606,0.9933450724800373,0.9596128423030028,0.9290998978788896,0.9967801974357323,,,0.9918440853144715,0.9938391774091369,0.9967801974357323,0.9967847242407191,0.9967756389425801,0.9167604755349369,0.9945978418904914,0.9913121960269898,0.9878507506084918,0.9989512074071291,0.991878476333,0.9381140428592588,0.9844775783940986,0.9567888448423763
FeatureNum:7.0,0.999170117293505,,,0.9987719665662267,0.9969581584698367,0.9504156780076998,0.9228410047608627,0.9990522178747486,0.9983533091047105,0.9966651469514851,,,0.9990522178747486,0.9990566466097491,0.9990477574012028,0.9256660408447206,,0.993986833795124,0.9932771368751284,0.9998341642242607,0.9865419571491849,0.9436162030135408,0.9907193116683237,0.967679635004191
FeatureNum:8.0,1.0,,,0.999503713107606,0.9933450724800373,0.9596128423030028,0.9290998978788896,0.9967801974357323,0.9953961473817146,0.9942887443393797,,,0.9967801974357323,0.9967847242407191,0.9967756389425801,0.9167604755349369,,0.9913121960269898,0.9878507506084918,0.9989512074071291,0.991878476333,0.9381140428592588,0.9844775783940986,0.9567888448423763
Scaler:minmax,0.999503713107606,0.9987719665662267,0.999503713107606,,0.9940109935426085,0.9528237194432442,0.9175964959681461,0.9971964038256258,0.9944616931274499,0.9962191669839656,0.9940011185362235,0.9949550308653564,0.9971964038256258,0.9971963934882423,0.9971963833765987,0.9268190636941575,0.9937820947270585,0.9879007621163246,,0.9991087710751712,0.9930544402296158,0.9476950096462874,0.9850645553337393,0.9567519151240483
Split_Ratio:0.2,0.9933450724800373,0.9969581584698367,0.9933450724800373,0.9940109935426085,,0.9243131953868244,0.8973718347618538,0.9993416725806603,0.998543653978061,0.9985578392251625,0.9987881652864021,0.9997575010335378,0.9993416725806603,0.9993393840716885,0.9993439306962238,0.9468756349865658,0.9988348493295066,0.9913481993075676,0.998891684583792,,0.9747172853417029,0.9583072402939432,0.9978412219289385,0.982572575742486
Model:random_forest,0.9596128423030028,0.9504156780076998,0.9596128423030028,0.9528237194432442,0.9243131953868244,,0.9848025390727901,0.9360509648702202,0.9394432402021295,0.9241591586525847,0.9160255518558734,0.9242490579240735,0.9360509648702202,0.936087267630972,0.9360146258908678,0.7695229634168647,0.9362072995001345,,0.9126723417076297,0.946886335850776,,,,
Prob_Threshold:0.35,0.9290998978788896,0.9228410047608627,0.9290998978788896,0.9175964959681461,0.8973718347618538,0.9848025390727901,,0.9074743548804205,0.9190245764286421,0.888354234524005,0.8809250834381429,0.894411024721677,0.9074743548804205,0.9075327016699386,0.9074159683109317,,0.9159295716060657,0.9431855175058672,0.8912839957792151,0.9166593168045707,0.9159422234620738,0.744058064982657,0.883316424670653,0.8508713213323739
AugName:noAug,0.9967801974357323,0.9990522178747486,0.9967801974357323,0.9971964038256258,0.9993416725806603,0.9360509648702202,0.9074743548804205,,0.9988757859334143,0.9988402838979082,0.9982132556512794,0.9994674136369102,1.0,0.9999999845671381,0.9999999845609172,0.9397601577599889,0.9988244678279157,0.9923969620972023,0.9968806145008542,0.9992968820078604,0.9815781702295053,0.9543232163780572,0.9951642204050553,0.9758208001183524
FS_Method:biMaxInfgain,,0.9983533091047105,0.9953961473817146,0.9944616931274499,0.998543653978061,0.9394432402021295,0.9190245764286421,0.9988757859334143,,,0.9951190757802616,0.9978738615604631,0.9988757859334128,0.9988820537647249,0.9988694859982743,0.92847532514025,0.9999539055848476,0.9968791454139234,0.9974618752879254,0.9978371174812909,0.9756095158610308,0.9419757477400899,0.9957890250391879,0.9796967249562976
FS_Method:infgain,,0.9966651469514851,0.9942887443393797,0.9962191669839656,0.9985578392251625,0.9241591586525847,0.888354234524005,0.9988402838979082,,,0.9997182177381648,0.9993521964342281,0.9988402838979085,0.9988331451259167,0.9988473932696972,0.9533716986464739,0.9957640611346182,0.9853777089991285,0.9955354784689597,0.9977503153813398,0.981764282509389,0.9672294140591167,0.9941916833475145,0.9738613599884097
