Part_Label,Split_Ratio:0.1,FeatureNum:8.0,FS_Method:noSelect,FeatureNum:5.0,FeatureNum:7.0,FS_Method:biMaxInfgain,Prob_Threshold:0.35,Scaler:standard,Norm_Order:first,Model:XGBmodel
Split_Ratio:0.1,,0.998951207407131,0.998951207407131,0.9974319008190446,0.9998341642242601,0.997837117481291,0.9166593168045729,0.9934231308457256,0.9992992157003595,0.9910209063752682
FeatureNum:8.0,0.998951207407131,,1.0,,,0.9953961473817146,0.9290998978788896,0.9878507506084918,0.9967847242407191,0.9844775783940986
FS_Method:noSelect,0.998951207407131,1.0,,0.9945978418904914,0.999170117293505,,0.9290998978788896,0.9878507506084918,0.9967847242407191,0.9844775783940986
FeatureNum:5.0,0.9974319008190446,,0.9945978418904914,,,0.9999539055848513,0.915929571606071,0.9980735368571182,0.9988299214769762,0.9965824597016534
FeatureNum:7.0,0.9998341642242601,,0.999170117293505,,,0.9983533091047105,0.9228410047608627,0.9932771368751284,0.9990566466097491,0.9907193116683237
FS_Method:biMaxInfgain,0.997837117481291,0.9953961473817146,,0.9999539055848513,0.9983533091047105,,0.9190245764286445,0.9974618752879254,0.9988820537647249,0.9957890250391879
Prob_Threshold:0.35,0.9166593168045729,0.9290998978788896,0.9290998978788896,0.915929571606071,0.9228410047608627,0.9190245764286445,,0.8912839957792151,0.9075327016699386,0.883316424670653
Scaler:standard,0.9934231308457256,0.9878507506084918,0.9878507506084918,0.9980735368571182,0.9932771368751284,0.9974618752879254,0.8912839957792151,,0.9968805937874002,0.9997696224671824
Norm_Order:first,0.9992992157003595,0.9967847242407191,0.9967847242407191,0.9988299214769762,0.9990566466097491,0.9988820537647249,0.9075327016699386,0.9968805937874002,,0.9951634456530718
Model:XGBmodel,0.9910209063752682,0.9844775783940986,0.9844775783940986,0.9965824597016534,0.9907193116683237,0.9957890250391879,0.883316424670653,0.9997696224671824,0.9951634456530718,
