Metric,Mean,Std
Accuracy,0.7709009740259741,0.048727066548350004
Macro_Precision,0.7591081087873407,0.05378225890599752
Macro_Recall,0.7573533950617284,0.05718331989924842
Macro_F1,0.750195208781473,0.052360128220026406
Weighted_Precision,0.7846702161770542,0.05110348251546273
Weighted_Recall,0.7709009740259741,0.048727066548350004
Weighted_F1,0.7705847256993241,0.047991397437173774
Micro_Precision,0.7709009740259741,0.048727066548350004
Micro_Recall,0.7709009740259741,0.048727066548350004
Micro_F1,0.7709009740259741,0.048727066548350004
Integrated_Score,0.7665905517851214,0.0496294521488721
