Metric,Mean,Std
Accuracy,0.7587932900432901,0.04878772654839808
Macro_Precision,0.7432859343442466,0.053172514378603764
Macro_Recall,0.7411757330246914,0.0520993766810991
Macro_F1,0.736648754739571,0.0511854278743665
Weighted_Precision,0.7682729299825918,0.04720227914789053
Weighted_Recall,0.7587932900432901,0.04878772654839808
Weighted_F1,0.7586317508666456,0.04760369985825542
Micro_Precision,0.7587932900432901,0.04878772654839808
Micro_Recall,0.7587932900432901,0.04878772654839808
Micro_F1,0.7587932900432901,0.04878772654839808
Integrated_Score,0.7530828515934013,0.04880188223917674
