Metric,Mean,Std
Accuracy,0.7650613275613275,0.03138841289362985
Macro_Precision,0.7491454209446206,0.03314508962227479
Macro_Recall,0.7551491769547325,0.04202881998000206
Macro_F1,0.7462953502165269,0.035566355594601085
Weighted_Precision,0.7776825220520539,0.034503342120879674
Weighted_Recall,0.7650613275613275,0.03138841289362985
Weighted_F1,0.7661495493405217,0.03159902324751651
Micro_Precision,0.7650613275613275,0.03138841289362985
Micro_Recall,0.7650613275613275,0.03138841289362985
Micro_F1,0.7650613275613275,0.03138841289362985
Integrated_Score,0.7610889779532288,0.03276685214462615
