Metric,Mean,Std
Accuracy,0.7600559163059162,0.04957752661893783
Macro_Precision,0.7466248844587424,0.05287268418618879
Macro_Recall,0.7615685013717423,0.05864643734874217
Macro_F1,0.746205587947508,0.05433721926541522
Weighted_Precision,0.7809507342097286,0.052410378376604505
Weighted_Recall,0.7600559163059162,0.04957752661893783
Weighted_F1,0.7632376367094983,0.04961470039939177
Micro_Precision,0.7600559163059162,0.04957752661893783
Micro_Recall,0.7600559163059162,0.04957752661893783
Micro_F1,0.7600559163059162,0.04957752661893783
Integrated_Score,0.7593532622249386,0.05122989096479583
