Part_Label,Model:GradientBoosting,Prob_Threshold:0.5,Model:random_forest,FeatureNum:4.0,FeatureNum:7.0,FS_Method:infgain,Norm_Order:last,ImblName:noImbl,AugName:noAug,Norm_Order:first
Model:GradientBoosting,,0.9124713719133445,,0.9908295555684732,0.992730121847343,0.9913294853900919,0.9965819266899353,0.9966506250917495,0.9966506250917495,0.9967182921101618
Prob_Threshold:0.5,0.9124713719133445,,0.6623269453282421,0.95101816258178,0.904603493232607,0.9403684821093256,0.9268124713342791,0.9268190584450906,0.9268190584450906,0.9268247191986645
Model:random_forest,,0.6623269453282421,,0.8579341751477448,0.9161564508176074,0.8761824257811106,0.8889161284587179,0.8887581216144818,0.8887581216144818,0.8885993204096502
FeatureNum:4.0,0.9908295555684732,0.95101816258178,0.8579341751477448,,,0.9991455852730595,0.9972428793023708,0.9972260950871521,0.9972260950871521,0.9972083277917981
FeatureNum:7.0,0.992730121847343,0.904603493232607,0.9161564508176074,,,0.9955897106495958,0.997706382824521,0.9976705682994056,0.9976705682994056,0.9976337811326073
FS_Method:infgain,0.9913294853900919,0.9403684821093256,0.8761824257811106,0.9991455852730595,0.9955897106495958,,0.9986006763713322,0.9985674736170435,0.9985674736170435,0.9985332958349344
Norm_Order:last,0.9965819266899353,0.9268124713342791,0.8889161284587179,0.9972428793023708,0.997706382824521,0.9986006763713322,,0.999999501853827,0.999999501853827,
ImblName:noImbl,0.9966506250917495,0.9268190584450906,0.8887581216144818,0.9972260950871521,0.9976705682994056,0.9985674736170435,0.999999501853827,,1.0,0.99999950242331
AugName:noAug,0.9966506250917495,0.9268190584450906,0.8887581216144818,0.9972260950871521,0.9976705682994056,0.9985674736170435,0.999999501853827,1.0,,0.99999950242331
Norm_Order:first,0.9967182921101618,0.9268247191986645,0.8885993204096502,0.9972083277917981,0.9976337811326073,0.9985332958349344,,0.99999950242331,0.99999950242331,
