Metric,Mean,Std
Accuracy,0.6996903559403559,0.04782625484598877
Macro_Precision,0.6813374609523573,0.04663914211673795
Macro_Recall,0.6800664437585735,0.04538371800183578
Macro_F1,0.6736130400194956,0.046942643996963074
Weighted_Precision,0.7124694376439696,0.041720992414947436
Weighted_Recall,0.6996903559403559,0.04782625484598877
Weighted_F1,0.6995414479029515,0.04619725079935683
Micro_Precision,0.6996903559403559,0.04782625484598877
Micro_Recall,0.6996903559403559,0.04782625484598877
Micro_F1,0.6996903559403559,0.04782625484598876
Integrated_Score,0.6932366497999993,0.045085511855642205
