Metric,Mean,Std
Accuracy,0.6880411255411255,0.05576349637624545
Macro_Precision,0.6815500846046109,0.0418358797552382
Macro_Recall,0.6855504115226337,0.04171770131022804
Macro_F1,0.6699391122993664,0.04971686518977204
Weighted_Precision,0.7181582152930441,0.037076984165654324
Weighted_Recall,0.6880411255411255,0.05576349637624545
Weighted_F1,0.690001687605885,0.05452794676356876
Micro_Precision,0.6880411255411255,0.05576349637624545
Micro_Recall,0.6880411255411255,0.05576349637624545
Micro_F1,0.6880411255411255,0.05576349637624544
Integrated_Score,0.6877334413442666,0.048204858648029994
