PipelinePart,PartValue,Metric,Value
FeatureNum,4.0,Accuracy,0.7270359848484849
FeatureNum,5.0,Accuracy,0.7350852272727272
FeatureNum,6.0,Accuracy,0.7332927489177489
FeatureNum,7.0,Accuracy,0.7289637445887446
FeatureNum,8.0,Accuracy,0.7184794372294373
FeatureNum,4.0,Macro_Precision,0.7055196733599763
FeatureNum,5.0,Macro_Precision,0.713942304596742
FeatureNum,6.0,Macro_Precision,0.7116367030390055
FeatureNum,7.0,Macro_Precision,0.7080966009768588
FeatureNum,8.0,Macro_Precision,0.6981964664988031
FeatureNum,4.0,Macro_Recall,0.6976224922839506
FeatureNum,5.0,Macro_Recall,0.7088117283950618
FeatureNum,6.0,Macro_Recall,0.706033950617284
FeatureNum,7.0,Macro_Recall,0.7046084104938272
FeatureNum,8.0,Macro_Recall,0.6940065586419752
FeatureNum,4.0,Macro_F1,0.6973177649572874
FeatureNum,5.0,Macro_F1,0.7081676955023557
FeatureNum,6.0,Macro_F1,0.7053045795171963
FeatureNum,7.0,Macro_F1,0.7026800720192976
FeatureNum,8.0,Macro_F1,0.6918639477782854
FeatureNum,4.0,Weighted_Precision,0.7301875552772886
FeatureNum,5.0,Weighted_Precision,0.738723229378719
FeatureNum,6.0,Weighted_Precision,0.7365146792221413
FeatureNum,7.0,Weighted_Precision,0.7343285791335642
FeatureNum,8.0,Weighted_Precision,0.7251726262734105
FeatureNum,4.0,Weighted_Recall,0.7270359848484849
FeatureNum,5.0,Weighted_Recall,0.7350852272727272
FeatureNum,6.0,Weighted_Recall,0.7332927489177489
FeatureNum,7.0,Weighted_Recall,0.7289637445887446
FeatureNum,8.0,Weighted_Recall,0.7184794372294373
FeatureNum,4.0,Weighted_F1,0.7249867919083627
FeatureNum,5.0,Weighted_F1,0.7341562088855541
FeatureNum,6.0,Weighted_F1,0.731886786316319
FeatureNum,7.0,Weighted_F1,0.7284333140895504
FeatureNum,8.0,Weighted_F1,0.7181254523764052
FeatureNum,4.0,Micro_Precision,0.7270359848484849
FeatureNum,5.0,Micro_Precision,0.7350852272727272
FeatureNum,6.0,Micro_Precision,0.7332927489177489
FeatureNum,7.0,Micro_Precision,0.7289637445887446
FeatureNum,8.0,Micro_Precision,0.7184794372294373
