,FeatureNum:4,FeatureNum:5,FeatureNum:6,FeatureNum:7,FeatureNum:8,FS_Method:biMaxInfgain,FS_Method:infgain,FS_Method:noSelect,Scaler:minmax,Scaler:standard,AugName:noAug,ImblName:noImbl,Model:DTmodel,Model:GradientBoosting,Model:LogisticRegression,Model:XGBmodel,Model:random_forest,Model:sklearn_SVM,Norm_Order:first,Norm_Order:last,Prob_Threshold:0.5,Split_Ratio:0.1,Split_Ratio:0.2
FeatureNum:4,0.0,0.03058757843228306,0.03294127803528607,0.03478529327026612,0.03343853838439192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FeatureNum:5,0.03058757843228306,0.0,0.022415402227954236,0.026910770726343167,0.029385981256000795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FeatureNum:6,0.03294127803528607,0.022415402227954236,0.0,0.02113572027441418,0.0241689497724578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FeatureNum:7,0.03478529327026612,0.026910770726343167,0.02113572027441418,0.0,0.02242504255634988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FeatureNum:8,0.03343853838439192,0.029385981256000795,0.0241689497724578,0.02242504255634988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS_Method:biMaxInfgain,0.0,0.0,0.0,0.0,0.0,0.0,0.029069518459916184,0.03343853838439192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS_Method:infgain,0.0,0.0,0.0,0.0,0.0,0.029069518459916184,0.0,0.03987757859928348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS_Method:noSelect,0.0,0.0,0.0,0.0,0.0,0.03343853838439192,0.03987757859928348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scaler:minmax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028304142389215865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scaler:standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028304142389215865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AugName:noAug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ImblName:noImbl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Model:DTmodel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07243235600069943,0.09615172828953769,0.08059463023445106,0.07381938747044382,0.0827054456402969,0.0,0.0,0.0,0.0,0.0
Model:GradientBoosting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07243235600069943,0.0,0.036662935997281,0.03089911237419686,0.028380033202522095,0.03241411805567954,0.0,0.0,0.0,0.0,0.0
Model:LogisticRegression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09615172828953769,0.036662935997281,0.0,0.03402668833705868,0.0329731819066663,0.03199582134117366,0.0,0.0,0.0,0.0,0.0
Model:XGBmodel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08059463023445106,0.03089911237419686,0.03402668833705868,0.0,0.02708627766983151,0.03344367533781279,0.0,0.0,0.0,0.0,0.0
Model:random_forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07381938747044382,0.028380033202522095,0.0329731819066663,0.02708627766983151,0.0,0.031277257180351174,0.0,0.0,0.0,0.0,0.0
Model:sklearn_SVM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0827054456402969,0.03241411805567954,0.03199582134117366,0.03344367533781279,0.031277257180351174,0.0,0.0,0.0,0.0,0.0,0.0
Norm_Order:first,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006479079893098707,0.0,0.0,0.0
Norm_Order:last,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006479079893098707,0.0,0.0,0.0,0.0
Prob_Threshold:0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Split_Ratio:0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045948571068130266
Split_Ratio:0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045948571068130266,0.0
