Metric,Mean,Std
Accuracy,0.7442279942279941,0.037565182943578614
Macro_Precision,0.7209853075630863,0.04198174715010693
Macro_Recall,0.7106532921810701,0.03986627452541677
Macro_F1,0.7136311324492195,0.04047152038287057
Weighted_Precision,0.7421880389763825,0.0368477875411315
Weighted_Recall,0.7442279942279941,0.037565182943578614
Weighted_F1,0.7413740468178652,0.03707819871039743
Micro_Precision,0.7442279942279941,0.037565182943578614
Micro_Recall,0.7442279942279941,0.037565182943578614
Micro_F1,0.7442279942279941,0.03756518294357859
Integrated_Score,0.7333246384533141,0.038276194302574555
