Metric,Mean,Std
Accuracy,0.7705627705627706,0.03985681204697572
Macro_Precision,0.7553446593509056,0.044542244551104206
Macro_Recall,0.7315620713305898,0.0449238874057808
Macro_F1,0.7376068265948776,0.04393619168251509
Weighted_Precision,0.7691964120859193,0.039648461752137064
Weighted_Recall,0.7705627705627706,0.03985681204697572
Weighted_F1,0.765037541053072,0.0398351949944392
Micro_Precision,0.7705627705627706,0.03985681204697572
Micro_Recall,0.7705627705627706,0.03985681204697572
Micro_F1,0.7705627705627706,0.039856812046975734
Integrated_Score,0.7592320776490419,0.04092882620731597
