Part_Label,FS_Method:noSelect,FeatureNum:8.0,Scaler:minmax,FeatureNum:7.0,Split_Ratio:0.2,AugName:noAug,FS_Method:infgain,FeatureNum:6.0,ImblName:noImbl,Norm_Order:first,Norm_Order:last,Prob_Threshold:0.5,FS_Method:biMaxInfgain,FeatureNum:5.0,Model:GradientBoosting,Model:random_forest,FeatureNum:4.0,Scaler:standard,Split_Ratio:0.1,Model:XGBmodel,Model:sklearn_SVM,Model:LogisticRegression,Model:DTmodel
FS_Method:noSelect,,1.0,0.9999668571952154,0.9997196600500071,0.9997610301036916,0.9998299291374417,,0.9996569928625556,0.9998299291374417,0.9998259202085439,0.9998338585707616,0.9998299291374417,,0.9976485451483974,0.9936995658118503,0.9932984074104798,0.9984248819782208,0.9990969128612417,0.9998425083739941,0.9982400727017036,0.9659974794719977,0.9854747015925138,0.9443336191956132
FeatureNum:8.0,1.0,,0.9999668571952154,,0.9997610301036916,0.9998299291374417,0.9990635884379522,,0.9998299291374417,0.9998259202085439,0.9998338585707616,0.9998299291374417,0.9980577858638641,,0.9936995658118503,0.9932984074104798,,0.9990969128612417,0.9998425083739941,0.9982400727017036,0.9659974794719977,0.9854747015925138,0.9443336191956132
Scaler:minmax,0.9999668571952154,0.9999668571952154,,0.9995722609292795,0.9996418258875772,0.9997180677939875,0.999214830268856,0.9995659080529854,0.9997180677939875,0.9997141449353611,0.999721911065378,0.9997180677939875,0.9976401570402812,0.997167879107172,0.9929823564434649,0.9925825803352604,0.9986299583272569,,0.9997383369400092,0.998052523018652,0.967284265030222,0.9862980024687501,0.94275550678526
FeatureNum:7.0,0.9997196600500071,,0.9995722609292795,,0.999750603787054,0.999882811333385,0.9981975308618386,,0.999882811333385,0.999883772597209,0.9998817647326721,0.999882811333385,0.9991948333476579,,0.996001363712016,0.9955429881356511,,0.9996118234024607,0.9999616305969293,0.9987087315012925,0.9609400774039923,0.9816933991181563,0.9500473313494643
Split_Ratio:0.2,0.9997610301036916,0.9997610301036916,0.9996418258875772,0.999750603787054,,0.999972200956075,0.9991106328280122,0.9999424988543921,0.999972200956075,0.9999717613824364,0.9999725568304016,0.999972200956075,0.9984033572511397,0.9981176983956116,0.9946394217955893,0.9937375263824678,0.9984202305552948,0.9997216307859419,,0.9992684315443858,0.9659638697812932,0.9848982584311384,0.9435284784763784
AugName:noAug,0.9998299291374417,0.9998299291374417,0.9997180677939875,0.999882811333385,0.999972200956075,,0.9989313261978658,0.9999515907396055,1.0,0.9999999579651382,0.99999995786635,1.0,0.9986448597633991,0.9983423522535361,0.99498677051765,0.9942396864526396,0.998161256672692,0.9996993919975697,0.9999695639360086,0.9991079472414565,0.9647008897268237,0.9841360736867332,0.9453915179438024
FS_Method:infgain,,0.9990635884379522,0.999214830268856,0.9981975308618386,0.9991106328280122,0.9989313261978658,,0.9989780608236316,0.998931326197866,0.9989275063475944,0.9989350664061898,0.998931326197866,,0.9946565353979053,0.9894933960226598,0.9882288820946707,0.999880411866678,0.9980474894273778,0.998684247700637,0.9982297036452968,0.9758094158654159,0.991167328160501,0.929723259249686
FeatureNum:6.0,0.9996569928625556,,0.9995659080529854,,0.9999424988543921,0.9999515907396055,0.9989780608236316,,0.9999515907396058,0.9999540111095552,0.9999490833134411,0.9999515907396058,0.9985261867813192,,0.994977529551758,0.9940196260396484,,0.9997581425930211,0.9999015832292258,0.999406353527778,0.9652490156188368,0.9841666603299611,0.9443169297918339
ImblName:noImbl,0.9998299291374417,0.9998299291374417,0.9997180677939875,0.999882811333385,0.999972200956075,1.0,0.998931326197866,0.9999515907396058,,0.9999999579651382,0.99999995786635,1.0,0.9986448597633991,0.9983423522535361,0.99498677051765,0.9942396864526396,0.998161256672692,0.9996993919975697,0.9999695639360086,0.9991079472414565,0.9647008897268237,0.9841360736867332,0.9453915179438024
Norm_Order:first,0.9998259202085439,0.9998259202085439,0.9997141449353611,0.999883772597209,0.9999717613824364,0.9999999579651382,0.9989275063475944,0.9999540111095552,0.9999999579651382,,,0.999999957965138,0.9986499593340858,0.9983477926179647,0.9950005298267562,0.9942497664635023,0.9981546709418812,0.9997033572687649,0.9999699378703111,0.999116010538093,0.964679995549915,0.9841134359029932,0.9454099805031249
