PipelinePart,PartValue,Metric,Value
FeatureNum,4.0,Accuracy,0.04685964602632414
FeatureNum,5.0,Accuracy,0.05062396296225715
FeatureNum,6.0,Accuracy,0.050121436617834726
FeatureNum,7.0,Accuracy,0.053998835968031206
FeatureNum,8.0,Accuracy,0.05688488688459034
FeatureNum,4.0,Macro_Precision,0.0547959804134506
FeatureNum,5.0,Macro_Precision,0.057268837412172646
FeatureNum,6.0,Macro_Precision,0.05749580767131103
FeatureNum,7.0,Macro_Precision,0.06113280662234001
FeatureNum,8.0,Macro_Precision,0.06502012346860443
FeatureNum,4.0,Macro_Recall,0.047699900402512305
FeatureNum,5.0,Macro_Recall,0.05199347066095686
FeatureNum,6.0,Macro_Recall,0.053284045627316055
FeatureNum,7.0,Macro_Recall,0.05454712390432239
FeatureNum,8.0,Macro_Recall,0.05720133558311172
FeatureNum,4.0,Macro_F1,0.04939660736120684
FeatureNum,5.0,Macro_F1,0.05343201690470791
FeatureNum,6.0,Macro_F1,0.05424878703881617
FeatureNum,7.0,Macro_F1,0.0568674409639745
FeatureNum,8.0,Macro_F1,0.05917662455457889
FeatureNum,4.0,Weighted_Precision,0.04644315094510386
FeatureNum,5.0,Weighted_Precision,0.0496554528697583
FeatureNum,6.0,Weighted_Precision,0.05010759224612024
FeatureNum,7.0,Weighted_Precision,0.05257268755950124
FeatureNum,8.0,Weighted_Precision,0.055817251765393684
FeatureNum,4.0,Weighted_Recall,0.04685964602632414
FeatureNum,5.0,Weighted_Recall,0.05062396296225715
FeatureNum,6.0,Weighted_Recall,0.050121436617834726
FeatureNum,7.0,Weighted_Recall,0.053998835968031206
FeatureNum,8.0,Weighted_Recall,0.05688488688459034
FeatureNum,4.0,Weighted_F1,0.04567029920032092
FeatureNum,5.0,Weighted_F1,0.04946120931423986
FeatureNum,6.0,Weighted_F1,0.04954965475237924
FeatureNum,7.0,Weighted_F1,0.05277482637102158
FeatureNum,8.0,Weighted_F1,0.05515428632933602
FeatureNum,4.0,Micro_Precision,0.04685964602632414
FeatureNum,5.0,Micro_Precision,0.05062396296225715
FeatureNum,6.0,Micro_Precision,0.050121436617834726
FeatureNum,7.0,Micro_Precision,0.053998835968031206
FeatureNum,8.0,Micro_Precision,0.05688488688459034
FeatureNum,4.0,Micro_Recall,0.04685964602632414
FeatureNum,5.0,Micro_Recall,0.05062396296225715
FeatureNum,6.0,Micro_Recall,0.050121436617834726
FeatureNum,7.0,Micro_Recall,0.053998835968031206
FeatureNum,8.0,Micro_Recall,0.05688488688459034
FeatureNum,4.0,Micro_F1,0.046859646026324135
FeatureNum,5.0,Micro_F1,0.05062396296225714
FeatureNum,6.0,Micro_F1,0.050121436617834705
FeatureNum,7.0,Micro_F1,0.053998835968031206
FeatureNum,8.0,Micro_F1,0.056884886884590334
FeatureNum,4.0,Integrated_Score,0.04748788962865782
FeatureNum,5.0,Integrated_Score,0.05133275113429087
FeatureNum,6.0,Integrated_Score,0.051346392581842655
FeatureNum,7.0,Integrated_Score,0.0545134339949292
FeatureNum,8.0,Integrated_Score,0.05735461765876878
FS_Method,biMaxInfgain,Accuracy,0.05194851758841443
FS_Method,infgain,Accuracy,0.049229240783567066
FS_Method,noSelect,Accuracy,0.05688488688459034
FS_Method,biMaxInfgain,Macro_Precision,0.05855368929822155
FS_Method,infgain,Macro_Precision,0.057209491035553645
FS_Method,noSelect,Macro_Precision,0.06502012346860443
FS_Method,biMaxInfgain,Macro_Recall,0.05353928199619564
FS_Method,infgain,Macro_Recall,0.050499810692697086
FS_Method,noSelect,Macro_Recall,0.05720133558311172
FS_Method,biMaxInfgain,Macro_F1,0.05522555771888265
FS_Method,infgain,Macro_F1,0.0521036986899141
FS_Method,noSelect,Macro_F1,0.05917662455457889
FS_Method,biMaxInfgain,Weighted_Precision,0.0508331113506284
FS_Method,infgain,Weighted_Precision,0.048904915211589774
FS_Method,noSelect,Weighted_Precision,0.055817251765393684
FS_Method,biMaxInfgain,Weighted_Recall,0.05194851758841443
FS_Method,infgain,Weighted_Recall,0.049229240783567066
FS_Method,noSelect,Weighted_Recall,0.05688488688459034
FS_Method,biMaxInfgain,Weighted_F1,0.05099436821852531
FS_Method,infgain,Weighted_F1,0.048093351511465904
FS_Method,noSelect,Weighted_F1,0.05515428632933602
FS_Method,biMaxInfgain,Micro_Precision,0.05194851758841443
FS_Method,infgain,Micro_Precision,0.049229240783567066
FS_Method,noSelect,Micro_Precision,0.05688488688459034
FS_Method,biMaxInfgain,Micro_Recall,0.05194851758841443
FS_Method,infgain,Micro_Recall,0.049229240783567066
FS_Method,noSelect,Micro_Recall,0.05688488688459034
FS_Method,biMaxInfgain,Micro_F1,0.051948517588414414
FS_Method,infgain,Micro_F1,0.04922924078356706
FS_Method,noSelect,Micro_F1,0.056884886884590334
FS_Method,biMaxInfgain,Integrated_Score,0.052727105688669035
FS_Method,infgain,Integrated_Score,0.049981463795859625
FS_Method,noSelect,Integrated_Score,0.05735461765876878
Scaler,minmax,Accuracy,0.05230522698384453
Scaler,standard,Accuracy,0.05003497770479486
Scaler,minmax,Macro_Precision,0.05930183343888944
Scaler,standard,Macro_Precision,0.05788105042532832
Scaler,minmax,Macro_Recall,0.05305654817388439
Scaler,standard,Macro_Recall,0.051980534152860414
Scaler,minmax,Macro_F1,0.05451314212201984
Scaler,standard,Macro_F1,0.053799928714427556
Scaler,minmax,Weighted_Precision,0.05097290056794689
Scaler,standard,Weighted_Precision,0.04994091357712992
Scaler,minmax,Weighted_Recall,0.05230522698384453
Scaler,standard,Weighted_Recall,0.05003497770479486
Scaler,minmax,Weighted_F1,0.050730558502427185
Scaler,standard,Weighted_F1,0.04935905868650417
Scaler,minmax,Micro_Precision,0.05230522698384453
Scaler,standard,Micro_Precision,0.05003497770479486
Scaler,minmax,Micro_Recall,0.05230522698384453
Scaler,standard,Micro_Recall,0.05003497770479486
Scaler,minmax,Micro_F1,0.05230522698384452
Scaler,standard,Micro_F1,0.050034977704794856
Scaler,minmax,Integrated_Score,0.0526164933628612
Scaler,standard,Integrated_Score,0.051206142690306225
AugName,noAug,Accuracy,0.05132695052589469
AugName,noAug,Macro_Precision,0.05869072284282221
AugName,noAug,Macro_Recall,0.05268286628253692
AugName,noAug,Macro_F1,0.054341498577557754
AugName,noAug,Weighted_Precision,0.05055392715333307
AugName,noAug,Weighted_Recall,0.05132695052589469
AugName,noAug,Weighted_F1,0.05021511068425323
AugName,noAug,Micro_Precision,0.05132695052589469
AugName,noAug,Micro_Recall,0.05132695052589469
AugName,noAug,Micro_F1,0.051326950525894685
AugName,noAug,Integrated_Score,0.052060975513653594
ImblName,noImbl,Accuracy,0.05132695052589469
ImblName,noImbl,Macro_Precision,0.05869072284282221
ImblName,noImbl,Macro_Recall,0.05268286628253692
ImblName,noImbl,Macro_F1,0.054341498577557754
ImblName,noImbl,Weighted_Precision,0.05055392715333307
ImblName,noImbl,Weighted_Recall,0.05132695052589469
ImblName,noImbl,Weighted_F1,0.05021511068425323
ImblName,noImbl,Micro_Precision,0.05132695052589469
ImblName,noImbl,Micro_Recall,0.05132695052589469
ImblName,noImbl,Micro_F1,0.051326950525894685
ImblName,noImbl,Integrated_Score,0.052060975513653594
Model,DTmodel,Accuracy,0.037429002714205746
Model,GradientBoosting,Accuracy,0.03756518294357862
