Part_Label,FS_Method:noSelect,FeatureNum:5.0,FeatureNum:8.0,Model:random_forest,AugName:noAug,FS_Method:biMaxInfgain,FeatureNum:4.0,FeatureNum:6.0,ImblName:noImbl,Norm_Order:first,Norm_Order:last,Prob_Threshold:0.5,Scaler:minmax,Scaler:standard,FS_Method:infgain,FeatureNum:7.0,Model:GradientBoosting,Split_Ratio:0.2,Model:XGBmodel,Split_Ratio:0.1,Model:sklearn_SVM,Model:LogisticRegression,Model:DTmodel
FS_Method:noSelect,,0.9935160197177033,1.0,0.9927662518185277,0.9982756742729584,,0.999444898141424,0.9971392496682984,0.9982756742729584,0.9983948656283634,0.9981515492847582,0.9982756742729584,0.9995101201140125,0.9958409897781165,,0.998798522628093,0.9777718823152443,0.9980903627165547,0.9973152690081333,0.9799840715098064,0.9620151064734573,0.9900458301060155,0.8969995961653068
FeatureNum:5.0,0.9935160197177033,,,0.9994754524811064,0.9984330362859523,0.9998644917419537,,,0.9984330362859523,0.9983126478998535,0.9985493933048523,0.9984330362859523,0.9962108686406677,0.9996881567709267,0.9960788310398634,,0.9948738372659727,0.9874051640582886,0.9976992673749279,0.995332840874993,0.9271115682772143,0.9681814189543477,0.937863868648752
FeatureNum:8.0,1.0,,,0.9927662518185277,0.9982756742729584,0.9940525403043988,,,0.9982756742729584,0.9983948656283634,0.9981515492847582,0.9982756742729584,0.9995101201140125,0.9958409897781165,0.9996219468975855,,0.9777718823152443,0.9980903627165547,0.9973152690081333,0.9799840715098064,0.9620151064734573,0.9900458301060155,0.8969995961653068
Model:random_forest,0.9927662518185277,0.9994754524811064,0.9927662518185277,,0.9979902484930461,0.9998164598512037,0.9961923266263083,0.9989479319147622,0.9979902484930461,0.9978721489968323,0.9981043099843381,0.9979902484930461,0.9957107058859797,0.9993071129182757,0.9953405458815102,0.9970427662243257,,0.9881745065052946,,0.9931996506288373,,,
AugName:noAug,0.9982756742729584,0.9984330362859523,0.9982756742729584,0.9979902484930461,,0.9987071713352119,0.9996156516653131,0.9997908563501381,1.0,0.9999977665683922,0.9999977497011054,1.0,0.9994930873929156,0.9994223096737577,0.9994266959373074,0.9998944659237302,0.9880421818771712,0.9944863858381832,0.999245056502888,0.9891432240670739,0.9461695897221372,0.9805715002915033,0.9186623462283794
FS_Method:biMaxInfgain,,0.9998644917419537,0.9940525403043988,0.9998164598512037,0.9987071713352119,,0.9970299962489381,0.9993011789724869,0.9987071713352128,0.9986021358368046,0.9988081163701612,0.9987071713352128,0.9966381258141013,0.9997985251990322,,0.9980225391918519,0.9937184184924363,0.9889151439069827,0.9984675380720257,0.9938700180169021,0.9307128649131828,0.9700617132569956,0.9334550464818734
FeatureNum:4.0,0.999444898141424,,,0.9961923266263083,0.9996156516653131,0.9970299962489381,,,0.999615651665311,0.9996716299651295,0.9995549719623884,0.999615651665311,0.9999260411334455,0.9981659104822607,0.9998806087663995,,0.9834276860567056,0.9969342660725018,0.9989852371206687,0.9847970461590186,0.9547138888845661,0.9856118198573238,0.9076819860601028
FeatureNum:6.0,0.9971392496682984,,,0.9989479319147622,0.9997908563501381,0.9993011789724869,,,0.9997908563501353,0.9997615558480031,0.9998157760766568,0.9997908563501353,0.9989022216341422,0.9996208934663521,0.9986885617153485,,0.9896474520103772,0.9934776530038305,0.9993240326787942,0.9900584793652402,0.9427435412587508,0.9779048237488429,0.9216639853148613
ImblName:noImbl,0.9982756742729584,0.9984330362859523,0.9982756742729584,0.9979902484930461,1.0,0.9987071713352128,0.999615651665311,0.9997908563501353,,0.9999977665683922,0.9999977497011054,1.0,0.9994930873929156,0.9994223096737577,0.9994266959373074,0.9998944659237302,0.9880421818771712,0.9944863858381832,0.999245056502888,0.9891432240670739,0.9461695897221372,0.9805715002915033,0.9186623462283794
Norm_Order:first,0.9983948656283634,0.9983126478998535,0.9983948656283634,0.9978721489968323,0.9999977665683922,0.9986021358368046,0.9996716299651295,0.9997615558480031,0.9999977665683922,,,0.99999776656839,0.9995549870613986,0.9993516158004794,0.999491570427851,0.9999104014657652,0.9877212584584649,0.9946928822781284,0.9992436389341137,0.9888485264310819,0.9468332541301259,0.9809811587290519,0.917877877974378
