Metric,Mean,Std
Accuracy,0.7699765512265513,0.049711038940292815
Macro_Precision,0.753149730656379,0.05651955926479172
Macro_Recall,0.7368685699588476,0.052897211709740405
Macro_F1,0.7410585687721075,0.053349705099151136
Weighted_Precision,0.7697178322708693,0.049196411398036516
Weighted_Recall,0.7699765512265513,0.049711038940292815
Weighted_F1,0.7665968463925731,0.048959613838079855
Micro_Precision,0.7699765512265513,0.049711038940292815
Micro_Recall,0.7699765512265513,0.049711038940292815
Micro_F1,0.7699765512265513,0.0497110389402928
Integrated_Score,0.760112546053932,0.05072629285009512
