Detail,MeanImportance,StdImportance,Rank
Model_DTmodel,0.22725222068255144,0.022148229746952908,1
Split_Ratio,0.22043716717032516,0.010485893506736068,2
FeatureNum,0.1913561324351899,0.014490274130657472,3
Model_LogisticRegression,0.07519648840614736,0.012503161984163411,4
Scaler_minmax,0.044270001362319976,0.0025920144925667605,5
Scaler_standard,0.0437106655187088,0.002596908219532269,6
FS_Method_infgain,0.03874634820230146,0.004308646695923428,7
FS_Method_biMaxInfgain,0.03796014924649494,0.0023303250041350654,8
Model_sklearn_SVM,0.035940161475262127,0.009065466361817435,9
Model_GradientBoosting,0.03285641070229207,0.002385581776511863,10
