Part_Label,FeatureNum:4.0,Split_Ratio:0.2,Model:LogisticRegression,FeatureNum:7.0,Split_Ratio:0.1,FS_Method:noSelect,FeatureNum:8.0,Scaler:minmax,Model:sklearn_SVM,AugName:noAug,ImblName:noImbl,Norm_Order:first,Norm_Order:last,Prob_Threshold:0.5,FS_Method:biMaxInfgain,FeatureNum:6.0,FeatureNum:5.0,Model:random_forest,FS_Method:infgain,Model:GradientBoosting,Model:XGBmodel,Scaler:standard,Model:DTmodel
FeatureNum:4.0,,0.9971975942344041,0.9987926728309852,,0.9890973661480893,0.9924161365478257,,0.9884271246558217,0.9949216739660608,0.9938287417562249,0.9938287417562249,0.9937917847114748,0.9938654860410461,0.9938287417562249,0.9836106440956018,,,0.967463353325373,0.9990225514442828,0.9869902136301307,0.9976547914107823,0.9962151126579116,0.9277655062668033
Split_Ratio:0.2,0.9971975942344041,,0.9958514627782327,0.9981323865516776,,0.9984077932990962,0.9984077932990962,0.9954875492748758,0.9909517144237581,0.9990752480047419,0.9990752480047419,0.9990621504544045,0.999088099601731,0.9990752480047419,0.9939512167742738,0.9993389135394393,0.9887657958216357,0.9821087181871831,0.9992636863802861,0.9962246283959499,0.9940837969926658,0.9996772984789299,0.9493973641007147
Model:LogisticRegression,0.9987926728309852,0.9958514627782327,,0.992653879677625,0.9898135897811216,0.9925129286253396,0.9925129286253396,0.9904508094869785,,0.9935557091109962,0.9935557091109962,0.9935109978596164,0.9936002180125543,0.9935557091109962,0.9841056073225707,0.9942846945127473,0.975407736234443,,0.9979357548253222,,,0.9937028926001972,
FeatureNum:7.0,,0.9981323865516776,0.992653879677625,,0.9996529379516732,0.9999051421806466,,0.9991279752465232,0.9836053784079322,0.999775636904293,0.999775636904293,0.9997824239592372,0.9997685772006375,0.999775636904293,0.9978428250425921,,,0.9899870756885132,0.9967584601000699,0.9980383607004168,0.9875352741790048,0.9975082503762654,0.9644588592124014
Split_Ratio:0.1,0.9890973661480893,,0.9898135897811216,0.9996529379516732,,0.999656100530521,0.999656100530521,0.99963107241065,0.978828608722453,0.999214871820187,0.999214871820187,0.9992266880036595,0.9992027764308822,0.999214871820187,0.9991183133496584,0.9988120842104599,0.9962319304522566,0.9933295615507526,0.9943944350182657,0.9986734544035413,0.9832272779138026,0.9959115308593064,0.9709397085261017
FS_Method:noSelect,0.9924161365478257,0.9984077932990962,0.9925129286253396,0.9999051421806466,0.999656100530521,,1.0,0.9990761809134092,0.983334362204504,0.9999094710172387,0.9999094710172387,0.9999129972982335,0.9999056763995989,0.9999094710172387,,0.999712389141618,0.9945921034556577,0.9905366956885451,,0.9986248496415501,0.9873608708138304,0.9978227390718806,0.9648798343692971
FeatureNum:8.0,,0.9984077932990962,0.9925129286253396,,0.999656100530521,1.0,,0.9990761809134092,0.983334362204504,0.9999094710172387,0.9999094710172387,0.9999129972982335,0.9999056763995989,0.9999094710172387,0.9982164855984563,,,0.9905366956885451,0.9966756676468573,0.9986248496415501,0.9873608708138304,0.9978227390718806,0.9648798343692971
Scaler:minmax,0.9884271246558217,0.9954875492748758,0.9904508094869785,0.9991279752465232,0.99963107241065,0.9990761809134092,0.9990761809134092,,0.9756983124638255,0.9984948068659909,0.9984948068659909,0.9984999315152119,0.9984894121221254,0.9984948068659909,0.9984967802097131,0.9979809844817917,0.9952943949829588,0.9939934787275184,0.9935501260617876,0.9973780065165339,0.9808747191466002,,0.9732327459062079
Model:sklearn_SVM,0.9949216739660608,0.9909517144237581,,0.9836053784079322,0.978828608722453,0.983334362204504,0.983334362204504,0.9756983124638255,,0.9854820846659834,0.9854820846659834,0.9854668492801832,0.9854970805326194,0.9854820846659834,0.9724824162668961,0.9873628461903967,0.9634126252485271,,0.9935172817621705,,,0.9921665562384395,
AugName:noAug,0.9938287417562249,0.9990752480047419,0.9935557091109962,0.999775636904293,0.999214871820187,0.9999094710172387,0.9999094710172387,0.9984948068659909,0.9854820846659834,,1.0,0.9999998684336386,0.9999998680825894,1.0,0.997490326712744,0.9999167459223136,0.9934980146354904,0.988791025716974,0.9975795584696305,0.9983497747468358,0.9892765824325023,0.9985683098145088,0.9614280749252461
ImblName:noImbl,0.9938287417562249,0.9990752480047419,0.9935557091109962,0.999775636904293,0.999214871820187,0.9999094710172387,0.9999094710172387,0.9984948068659909,0.9854820846659834,1.0,,0.9999998684336386,0.9999998680825894,1.0,0.997490326712744,0.9999167459223136,0.9934980146354904,0.988791025716974,0.9975795584696305,0.9983497747468358,0.9892765824325023,0.9985683098145088,0.9614280749252461
Norm_Order:first,0.9937917847114748,0.9990621504544045,0.9935109978596164,0.9997824239592372,0.9992266880036595,0.9999129972982335,0.9999129972982335,0.9984999315152119,0.9854668492801832,0.9999998684336386,0.9999998684336386,,,0.9999998684336375,0.9975085182786352,0.9999167171142143,0.9935271208309269,0.98881576848926,0.9975612701684317,0.9983621388243704,0.9892542623210228,0.9985630522641723,0.9614787889129685
Norm_Order:last,0.9938654860410461,0.999088099601731,0.9936002180125543,0.9997685772006375,0.9992027764308822,0.9999056763995989,0.9999056763995989,0.9984894121221254,0.9854970805326194,0.9999998680825894,0.9999998680825894,,,0.9999998680825875,0.9974718478958755,0.9999165111315887,0.9934686076900046,0.9887659892531137,0.9975976081322815,0.9983371309610894,0.9892986714699094,0.9985733110926507,0.9613770398349082
