Part_Label,Model:LogisticRegression,Split_Ratio:0.1,Model:GradientBoosting,Model:sklearn_SVM,FS_Method:noSelect,FeatureNum:8.0,Split_Ratio:0.2,FS_Method:biMaxInfgain,FeatureNum:5.0,FeatureNum:7.0,Model:XGBmodel,Model:random_forest,Scaler:standard,AugName:noAug,FeatureNum:6.0,ImblName:noImbl,Norm_Order:first,Norm_Order:last,Prob_Threshold:0.5,FS_Method:infgain,FeatureNum:4.0,Scaler:minmax,Model:DTmodel
Model:LogisticRegression,,0.9963432803505825,,,0.9730661592125814,0.9730661592125814,0.9355386755124081,0.9671035584108755,0.975234310657909,0.9690203865180188,,,0.9658829182967343,0.9763941265946269,0.9770141337573476,0.9763941265946269,0.9760227979941994,0.9767612273551242,0.9763941265946269,0.9838839132037447,0.9837722740834889,0.9843922474224405,
Split_Ratio:0.1,0.9963432803505825,,0.9740335545244465,0.9817220793694187,0.9891630163142563,0.9891630163142563,,0.9852957228661009,0.990560371677207,0.9865189911435968,0.9600718800874346,0.9652682239449534,0.9844073834813449,0.9912541648027465,0.9915951774360197,0.9912541648027465,0.9910233148028855,0.991480870988715,0.9912541648027465,0.9954569560132234,0.9954250213996794,0.9958175795561137,0.8965943969202647
Model:GradientBoosting,,0.9740335545244465,,,0.9947088778574672,0.9947088778574672,0.9975838786567516,0.9971992991880795,0.9951402530011582,0.9975615626024221,,,0.998164033746452,0.9947639216784062,0.9947019721155586,0.9947639216784062,0.9949623756766083,0.9945617459113466,0.9947639216784062,0.9909972789562278,0.9904133483970492,0.9897920369406282,
Model:sklearn_SVM,,0.9817220793694187,,,0.9447453375774013,0.9447453375774013,0.8937819149753526,0.9357048832590399,0.9469695994812153,0.9376369029032505,,,0.9332865795106594,0.9484785748128439,0.9491308347207522,0.9484785748128439,0.9478960641420507,0.9490567533198458,0.9484785748128439,0.959213993505002,0.9595804030821308,0.9608803023766348,
FS_Method:noSelect,0.9730661592125814,0.9891630163142563,0.9947088778574672,0.9447453375774013,,1.0,0.9913157047963416,,0.9997630259427475,0.9993550378049406,0.9887872319806147,0.9921883729549755,0.9990654973949622,0.9996650935856147,0.9994643740205831,0.9996650935856147,0.9996647966146907,0.9996614476591221,0.9996650935856147,,0.9983757163978477,0.9984037473956848,0.9518790387937447
FeatureNum:8.0,0.9730661592125814,0.9891630163142563,0.9947088778574672,0.9447453375774013,1.0,,0.9913157047963416,0.9995771398854021,,,0.9887872319806147,0.9921883729549755,0.9990654973949622,0.9996650935856147,,0.9996650935856147,0.9996647966146907,0.9996614476591221,0.9996650935856147,0.9980471046097044,,0.9984037473956848,0.9518790387937447
Split_Ratio:0.2,0.9355386755124081,,0.9975838786567516,0.8937819149753526,0.9913157047963416,0.9913157047963416,,0.9945206127625978,0.9903811686121086,0.9937187947566526,0.9990167008382976,0.9997340860873872,0.9950633442212932,0.9897427793525999,0.9893199601992066,0.9897427793525999,0.9899886127882954,0.9894932920569989,0.9897427793525999,0.9835106772912707,0.9836412851859537,0.9829941403998849,0.9822037963107111
FS_Method:biMaxInfgain,0.9671035584108755,0.9852957228661009,0.9971992991880795,0.9357048832590399,,0.9995771398854021,0.9945206127625978,,0.9993894177324751,0.999822474287527,0.9926910191155274,0.9953482343061069,0.9998400843662579,0.999189220897096,0.9989897598233882,0.999189220897096,0.9992464675889196,0.9991280916107329,0.999189220897096,,0.9969101620138087,0.9967658982107638,0.9587831013950352
FeatureNum:5.0,0.975234310657909,0.990560371677207,0.9951402530011582,0.9469695994812153,0.9997630259427475,,0.9903811686121086,0.9993894177324751,,,0.988647855234016,0.9917348554809697,0.999131502499023,0.9999453765305932,,0.9999453765305932,0.9999486180151574,0.9999381946359162,0.9999453765305932,0.9988666378749164,,0.9988827841611156,0.948326534679144
FeatureNum:7.0,0.9690203865180188,0.9865189911435968,0.9975615626024221,0.9376369029032505,0.9993550378049406,,0.9937187947566526,0.999822474287527,,,0.9926172690539504,0.9949753376350019,0.9999088389366598,0.9994424825018781,,0.9994424825018781,0.9995036599370785,0.9993774254643154,0.9994424825018781,0.9975078730091161,,0.9971902779787913,0.9556648671639277
Model:XGBmodel,,0.9600718800874346,,,0.9887872319806147,0.9887872319806147,0.9990167008382976,0.9926910191155274,0.988647855234016,0.9926172690539504,,,0.9939998047140539,0.9881315540825666,0.9879606320190581,0.9881315540825666,0.9884276026094635,0.9878319090354243,0.9881315540825666,0.9823140563840116,0.9818713433268614,0.9808765363387216,
Model:random_forest,,0.9652682239449534,,,0.9921883729549755,0.9921883729549755,0.9997340860873872,0.9953482343061069,0.9917348554809697,0.9949753376350019,,,0.9961543618641775,0.9912063154660063,0.9909299793147894,0.9912063154660063,0.9914503229159546,0.9909586465301016,0.9912063154660063,0.9856786484267239,0.9855361670404932,0.9848014303723761,
Scaler:standard,0.9658829182967343,0.9844073834813449,0.998164033746452,0.9332865795106594,0.9990654973949622,0.9990654973949622,0.9950633442212932,0.9998400843662579,0.999131502499023,0.9999088389366598,0.9939998047140539,0.9961543618641775,,0.9989861291776027,0.9988815573035876,0.9989861291776027,0.999068770518598,0.9988996318271112,0.9989861291776027,0.9965902925020438,0.9965473599230619,,0.9592470485901242
AugName:noAug,0.9763941265946269,0.9912541648027465,0.9947639216784062,0.9484785748128439,0.9996650935856147,0.9996650935856147,0.9897427793525999,0.999189220897096,0.9999453765305932,0.9994424825018781,0.9881315540825666,0.9912063154660063,0.9989861291776027,,0.9999739897061308,1.0,0.9999980250347731,0.9999980290432415,1.0,0.9991844419819961,0.9992309979502589,0.9991232916427591,0.9466687393472266
FeatureNum:6.0,0.9770141337573476,0.9915951774360197,0.9947019721155586,0.9491308347207522,0.9994643740205831,,0.9893199601992066,0.9989897598233882,,,0.9879606320190581,0.9909299793147894,0.9988815573035876,0.9999739897061308,,0.9999739897061336,0.9999730070386676,0.999971027561711,0.9999739897061336,0.9993544697480025,,0.9991703855975276,0.9454155165316416
ImblName:noImbl,0.9763941265946269,0.9912541648027465,0.9947639216784062,0.9484785748128439,0.9996650935856147,0.9996650935856147,0.9897427793525999,0.999189220897096,0.9999453765305932,0.9994424825018781,0.9881315540825666,0.9912063154660063,0.9989861291776027,1.0,0.9999739897061336,,0.9999980250347731,0.9999980290432415,1.0,0.9991844419819961,0.9992309979502589,0.9991232916427591,0.9466687393472266
Norm_Order:first,0.9760227979941994,0.9910233148028855,0.9949623756766083,0.9478960641420507,0.9996647966146907,0.9996647966146907,0.9899886127882954,0.9992464675889196,0.9999486180151574,0.9995036599370785,0.9884276026094635,0.9914503229159546,0.999068770518598,0.9999980250347731,0.9999730070386676,0.9999980250347731,,,0.9999980250347745,0.9991292895233655,0.9991642471255668,0.9990426328660662,0.9471587290938089
Norm_Order:last,0.9767612273551242,0.991480870988715,0.9945617459113466,0.9490567533198458,0.9996614476591221,0.9996614476591221,0.9894932920569989,0.9991280916107329,0.9999381946359162,0.9993774254643154,0.9878319090354243,0.9909586465301016,0.9988996318271112,0.9999980290432415,0.999971027561711,0.9999980290432415,,,0.9999980290432448,0.9992355977421874,0.9992937401166756,0.9991999280647358,0.946175513521533
Prob_Threshold:0.5,0.9763941265946269,0.9912541648027465,0.9947639216784062,0.9484785748128439,0.9996650935856147,0.9996650935856147,0.9897427793525999,0.999189220897096,0.9999453765305932,0.9994424825018781,0.9881315540825666,0.9912063154660063,0.9989861291776027,1.0,0.9999739897061336,1.0,0.9999980250347745,0.9999980290432448,,0.9991844419819961,0.9992309979502589,0.9991232916427591,0.9466687393472266
FS_Method:infgain,0.9838839132037447,0.9954569560132234,0.9909972789562278,0.959213993505002,,0.9980471046097044,0.9835106772912707,,0.9988666378749164,0.9975078730091161,0.9823140563840116,0.9856786484267239,0.9965902925020438,0.9991844419819961,0.9993544697480025,0.9991844419819961,0.9991292895233655,0.9992355977421874,0.9991844419819961,,0.9998858855586099,0.9997787691472375,0.9331054249957753
FeatureNum:4.0,0.9837722740834889,0.9954250213996794,0.9904133483970492,0.9595804030821308,0.9983757163978477,,0.9836412851859537,0.9969101620138087,,,0.9818713433268614,0.9855361670404932,0.9965473599230619,0.9992309979502589,,0.9992309979502589,0.9991642471255668,0.9992937401166756,0.9992309979502589,0.9998858855586099,,0.9999084586625847,0.9341255886503506
Scaler:minmax,0.9843922474224405,0.9958175795561137,0.9897920369406282,0.9608803023766348,0.9984037473956848,0.9984037473956848,0.9829941403998849,0.9967658982107638,0.9988827841611156,0.9971902779787913,0.9808765363387216,0.9848014303723761,,0.9991232916427591,0.9991703855975276,0.9991232916427591,0.9990426328660662,0.9991999280647358,0.9991232916427591,0.9997787691472375,0.9999084586625847,,0.9332492670624544
Model:DTmodel,,0.8965943969202647,,,0.9518790387937447,0.9518790387937447,0.9822037963107111,0.9587831013950352,0.948326534679144,0.9556648671639277,,,0.9592470485901242,0.9466687393472266,0.9454155165316416,0.9466687393472266,0.9471587290938089,0.946175513521533,0.9466687393472266,0.9331054249957753,0.9341255886503506,0.9332492670624544,
