Metric,Model,Avg_Rank,CD,Friedman_chi2,Friedman_p
Accuracy,sklearn_SVM,1.0,3.578991617760511,14.047619047619037,0.015309746283002858
Accuracy,LogisticRegression,2.3333333333333335,3.578991617760511,14.047619047619037,0.015309746283002858
Accuracy,XGBmodel,3.0,3.578991617760511,14.047619047619037,0.015309746283002858
Accuracy,GradientBoosting,3.6666666666666665,3.578991617760511,14.047619047619037,0.015309746283002858
Accuracy,random_forest,5.0,3.578991617760511,14.047619047619037,0.015309746283002858
Accuracy,DTmodel,6.0,3.578991617760511,14.047619047619037,0.015309746283002858
Macro_Precision,sklearn_SVM,1.3333333333333333,3.578991617760511,14.23809523809524,0.014165683684850295
Macro_Precision,LogisticRegression,1.6666666666666667,3.578991617760511,14.23809523809524,0.014165683684850295
Macro_Precision,XGBmodel,3.0,3.578991617760511,14.23809523809524,0.014165683684850295
Macro_Precision,random_forest,4.333333333333333,3.578991617760511,14.23809523809524,0.014165683684850295
Macro_Precision,GradientBoosting,4.666666666666667,3.578991617760511,14.23809523809524,0.014165683684850295
Macro_Precision,DTmodel,6.0,3.578991617760511,14.23809523809524,0.014165683684850295
Macro_Recall,LogisticRegression,2.3333333333333335,3.578991617760511,8.714285714285708,0.12101752697341778
Macro_Recall,sklearn_SVM,2.3333333333333335,3.578991617760511,8.714285714285708,0.12101752697341778
Macro_Recall,XGBmodel,3.0,3.578991617760511,8.714285714285708,0.12101752697341778
Macro_Recall,random_forest,3.0,3.578991617760511,8.714285714285708,0.12101752697341778
Macro_Recall,GradientBoosting,4.333333333333333,3.578991617760511,8.714285714285708,0.12101752697341778
Macro_Recall,DTmodel,6.0,3.578991617760511,8.714285714285708,0.12101752697341778
Macro_F1,LogisticRegression,1.6666666666666667,3.578991617760511,13.476190476190467,0.019302430752011344
Macro_F1,sklearn_SVM,2.0,3.578991617760511,13.476190476190467,0.019302430752011344
Macro_F1,XGBmodel,2.3333333333333335,3.578991617760511,13.476190476190467,0.019302430752011344
Macro_F1,GradientBoosting,4.0,3.578991617760511,13.476190476190467,0.019302430752011344
Macro_F1,random_forest,5.0,3.578991617760511,13.476190476190467,0.019302430752011344
Macro_F1,DTmodel,6.0,3.578991617760511,13.476190476190467,0.019302430752011344
Weighted_Precision,LogisticRegression,1.3333333333333333,3.578991617760511,13.476190476190467,0.019302430752011344
Weighted_Precision,sklearn_SVM,2.0,3.578991617760511,13.476190476190467,0.019302430752011344
Weighted_Precision,random_forest,3.0,3.578991617760511,13.476190476190467,0.019302430752011344
Weighted_Precision,XGBmodel,3.6666666666666665,3.578991617760511,13.476190476190467,0.019302430752011344
Weighted_Precision,GradientBoosting,5.0,3.578991617760511,13.476190476190467,0.019302430752011344
Weighted_Precision,DTmodel,6.0,3.578991617760511,13.476190476190467,0.019302430752011344
Weighted_Recall,sklearn_SVM,1.0,3.578991617760511,14.047619047619037,0.015309746283002858
Weighted_Recall,LogisticRegression,2.3333333333333335,3.578991617760511,14.047619047619037,0.015309746283002858
Weighted_Recall,XGBmodel,3.0,3.578991617760511,14.047619047619037,0.015309746283002858
Weighted_Recall,GradientBoosting,3.6666666666666665,3.578991617760511,14.047619047619037,0.015309746283002858
Weighted_Recall,random_forest,5.0,3.578991617760511,14.047619047619037,0.015309746283002858
Weighted_Recall,DTmodel,6.0,3.578991617760511,14.047619047619037,0.015309746283002858
Weighted_F1,sklearn_SVM,1.0,3.578991617760511,14.047619047619037,0.015309746283002858
Weighted_F1,LogisticRegression,2.3333333333333335,3.578991617760511,14.047619047619037,0.015309746283002858
Weighted_F1,XGBmodel,3.0,3.578991617760511,14.047619047619037,0.015309746283002858
Weighted_F1,GradientBoosting,3.6666666666666665,3.578991617760511,14.047619047619037,0.015309746283002858
Weighted_F1,random_forest,5.0,3.578991617760511,14.047619047619037,0.015309746283002858
Weighted_F1,DTmodel,6.0,3.578991617760511,14.047619047619037,0.015309746283002858
Micro_Precision,sklearn_SVM,1.0,3.578991617760511,14.047619047619037,0.015309746283002858
Micro_Precision,LogisticRegression,2.3333333333333335,3.578991617760511,14.047619047619037,0.015309746283002858
Micro_Precision,XGBmodel,3.0,3.578991617760511,14.047619047619037,0.015309746283002858
