Metric,Mean,Std
Accuracy,0.7261453823953824,0.047638974448476354
Macro_Precision,0.7095929909393002,0.04806475427631913
Macro_Recall,0.7085313786008229,0.04404099370784864
Macro_F1,0.7030604293297549,0.044933063095542035
Weighted_Precision,0.738093752610099,0.041917024832034064
Weighted_Recall,0.7261453823953824,0.047638974448476354
Weighted_F1,0.726710320586574,0.04460481215195284
Micro_Precision,0.7261453823953824,0.047638974448476354
Micro_Recall,0.7261453823953824,0.047638974448476354
Micro_F1,0.7261453823953823,0.047638974448476354
Integrated_Score,0.7205455776606243,0.04497272694788674
