Metric,Mean,Std
Accuracy,0.7242664742664743,0.03421656726226671
Macro_Precision,0.7112622817187614,0.027589272570537435
Macro_Recall,0.7153566529492456,0.027384184864550742
Macro_F1,0.7047024683323628,0.029781288464175295
Weighted_Precision,0.7434554004483572,0.02419255762225201
Weighted_Recall,0.7242664742664743,0.03421656726226671
Weighted_F1,0.725858092971079,0.032356603556031295
Micro_Precision,0.7242664742664743,0.03421656726226671
Micro_Recall,0.7242664742664743,0.03421656726226671
Micro_F1,0.7242664742664742,0.0342165672622667
Integrated_Score,0.7212981074137422,0.029046018348888175
