Part_Label,Model:LogisticRegression,Model:sklearn_SVM,Model:XGBmodel,Model:random_forest,Model:GradientBoosting,FeatureNum:4.0,Scaler:standard,Prob_Threshold:0.5,FS_Method:infgain,FS_Method:noSelect
Model:LogisticRegression,,,,,,0.9615036202821059,0.964194549243726,0.8775377504288677,0.9778286911264669,0.9976352147720031
Model:sklearn_SVM,,,,,,0.9962325322040559,0.9870153551279076,0.988207210859052,0.9884796984034644,0.9423664463384694
Model:XGBmodel,,,,,,0.9952892713196977,0.9859311941334933,0.9897307548535816,0.9867311331894452,0.9386206825247101
Model:random_forest,,,,,,0.807654080329489,0.8208899329007375,0.659603409714798,0.8456797950405279,0.9274362585698904
Model:GradientBoosting,,,,,,0.9913425650102122,0.998818019859369,0.9368022835436576,0.9939620593136081,0.9818131077965214
FeatureNum:4.0,0.9615036202821059,0.9962325322040559,0.9952892713196977,0.807654080329489,0.9913425650102122,,0.9958756984084307,0.971580082521623,0.9977063259393317,0.9674897746263335
Scaler:standard,0.964194549243726,0.9870153551279076,0.9859311941334933,0.8208899329007375,0.998818019859369,0.9958756984084307,,0.9526005911597288,0.9956651401509894,0.9748019739261966
Prob_Threshold:0.5,0.8775377504288677,0.988207210859052,0.9897307548535816,0.659603409714798,0.9368022835436576,0.971580082521623,0.9526005911597288,,0.9548077753692066,0.8822819146205874
FS_Method:infgain,0.9778286911264669,0.9884796984034644,0.9867311331894452,0.8456797950405279,0.9939620593136081,0.9977063259393317,0.9956651401509894,0.9548077753692066,,
FS_Method:noSelect,0.9976352147720031,0.9423664463384694,0.9386206825247101,0.9274362585698904,0.9818131077965214,0.9674897746263335,0.9748019739261966,0.8822819146205874,,
