Rank,Metric,Value,LogDir,Split_Ratio,P_th,R_St
1,M_P,0.7787,log/pimaindians_diabetes_v4/4/infgain/noAug__noImbl__minmax/sklearn_SVM,0.2,0.5,23
1,M_R,0.7596,log/pimaindians_diabetes_v4/7/infgain/standard__noAug__noImbl/sklearn_SVM,0.2,0.35,23
1,M_F1,0.7532,log/pimaindians_diabetes_v4/4/biMaxInfgain/noAug__noImbl__standard/XGBmodel,0.2,0.5,23
1,m_P,0.7857,log/pimaindians_diabetes_v4/4/infgain/standard__noAug__noImbl/LogisticRegression,0.2,0.5,23
1,m_R,0.7857,log/pimaindians_diabetes_v4/4/infgain/standard__noAug__noImbl/LogisticRegression,0.2,0.5,23
1,m_F1,0.7857,log/pimaindians_diabetes_v4/4/infgain/standard__noAug__noImbl/LogisticRegression,0.2,0.5,23
1,W_P,0.7823,log/pimaindians_diabetes_v4/4/infgain/standard__noAug__noImbl/sklearn_SVM,0.2,0.5,23
1,W_R,0.7857,log/pimaindians_diabetes_v4/4/infgain/standard__noAug__noImbl/LogisticRegression,0.2,0.5,23
1,W_F1,0.7791,log/pimaindians_diabetes_v4/4/infgain/standard__noAug__noImbl/LogisticRegression,0.2,0.5,23
1,Acc,0.7857,log/pimaindians_diabetes_v4/4/infgain/standard__noAug__noImbl/LogisticRegression,0.2,0.5,23
2,M_P,0.7787,log/pimaindians_diabetes_v4/4/infgain/minmax__noAug__noImbl/sklearn_SVM,0.2,0.5,23
2,M_R,0.7504,log/pimaindians_diabetes_v4/7/infgain/noAug__noImbl__standard/sklearn_SVM,0.2,0.35,23
2,M_F1,0.7532,log/pimaindians_diabetes_v4/4/biMaxInfgain/standard__noAug__noImbl/XGBmodel,0.2,0.5,23
2,m_P,0.7857,log/pimaindians_diabetes_v4/4/infgain/standard__noAug__noImbl/sklearn_SVM,0.2,0.5,23
2,m_R,0.7857,log/pimaindians_diabetes_v4/4/infgain/standard__noAug__noImbl/sklearn_SVM,0.2,0.5,23
2,m_F1,0.7857,log/pimaindians_diabetes_v4/4/infgain/standard__noAug__noImbl/sklearn_SVM,0.2,0.5,23
2,W_P,0.7823,log/pimaindians_diabetes_v4/4/infgain/minmax__noAug__noImbl/LogisticRegression,0.2,0.5,23
2,W_R,0.7857,log/pimaindians_diabetes_v4/4/infgain/standard__noAug__noImbl/sklearn_SVM,0.2,0.5,23
2,W_F1,0.7791,log/pimaindians_diabetes_v4/4/infgain/noAug__noImbl__standard/LogisticRegression,0.2,0.5,23
2,Acc,0.7857,log/pimaindians_diabetes_v4/4/infgain/standard__noAug__noImbl/sklearn_SVM,0.2,0.5,23
3,M_P,0.7763,log/pimaindians_diabetes_v4/4/infgain/minmax__noAug__noImbl/LogisticRegression,0.2,0.5,23
3,M_R,0.7504,log/pimaindians_diabetes_v4/8/noSelect/standard__noAug__noImbl/sklearn_SVM,0.2,0.35,23
3,M_F1,0.7517,log/pimaindians_diabetes_v4/4/infgain/noAug__noImbl__standard/LogisticRegression,0.2,0.5,23
3,m_P,0.7857,log/pimaindians_diabetes_v4/4/infgain/minmax__noAug__noImbl/LogisticRegression,0.2,0.5,23
3,m_R,0.7857,log/pimaindians_diabetes_v4/4/infgain/minmax__noAug__noImbl/LogisticRegression,0.2,0.5,23
3,m_F1,0.7857,log/pimaindians_diabetes_v4/4/infgain/minmax__noAug__noImbl/LogisticRegression,0.2,0.5,23
3,W_P,0.7823,log/pimaindians_diabetes_v4/4/infgain/noAug__noImbl__minmax/LogisticRegression,0.2,0.5,23
3,W_R,0.7857,log/pimaindians_diabetes_v4/4/infgain/minmax__noAug__noImbl/LogisticRegression,0.2,0.5,23
3,W_F1,0.7776,log/pimaindians_diabetes_v4/4/infgain/minmax__noAug__noImbl/LogisticRegression,0.2,0.5,23
3,Acc,0.7857,log/pimaindians_diabetes_v4/4/infgain/minmax__noAug__noImbl/LogisticRegression,0.2,0.5,23
4,M_P,0.7763,log/pimaindians_diabetes_v4/4/infgain/noAug__noImbl__minmax/LogisticRegression,0.2,0.5,23
4,M_R,0.7491,log/pimaindians_diabetes_v4/4/biMaxInfgain/noAug__noImbl__standard/XGBmodel,0.2,0.5,23
4,M_F1,0.7517,log/pimaindians_diabetes_v4/4/infgain/standard__noAug__noImbl/LogisticRegression,0.2,0.5,23
4,m_P,0.7857,log/pimaindians_diabetes_v4/4/infgain/noAug__noImbl__minmax/LogisticRegression,0.2,0.5,23
