Part_Label,FeatureNum:5.0,Prob_Threshold:0.5,FS_Method:infgain,Scaler:standard,FeatureNum:4.0,FS_Method:noSelect,FeatureNum:8.0,Norm_Order:first,Norm_Order:last,AugName:noAug
FeatureNum:5.0,,0.9677915220322816,0.9983328641281438,0.9998034079406858,,0.9897014787781508,,0.9994823686482766,0.9995004326992465,0.9994914453440062
Prob_Threshold:0.5,0.9677915220322816,,0.9796321176814219,0.9629024195365411,0.9797402200651014,0.930456637601037,0.930456637601037,0.9627527740944065,0.9628156970529769,0.9627842803072936
FS_Method:infgain,0.9983328641281438,0.9796321176814219,,0.9970371474661655,0.999989720798863,,0.9842361717718909,0.9974334688410371,0.9974489399260367,0.9974412488664839
Scaler:standard,0.9998034079406858,0.9629024195365411,0.9970371474661655,,0.9971211788814929,0.9910242837966514,0.9910242837966514,0.9994928693167398,0.9995105252676983,0.9995017419476417
FeatureNum:4.0,,0.9797402200651014,0.999989720798863,0.9971211788814929,,0.9838913330028648,,0.9973881916618281,0.9974059217518912,0.9973971012724188
FS_Method:noSelect,0.9897014787781508,0.930456637601037,,0.9910242837966514,0.9838913330028648,,1.0,0.9936020277656373,0.9935478475108592,0.9935749793439526
FeatureNum:8.0,,0.930456637601037,0.9842361717718909,0.9910242837966514,,1.0,,0.9936020277656373,0.9935478475108592,0.9935749793439526
Norm_Order:first,0.9994823686482766,0.9627527740944065,0.9974334688410371,0.9994928693167398,0.9973881916618281,0.9936020277656373,0.9936020277656373,,,0.9999999559769202
Norm_Order:last,0.9995004326992465,0.9628156970529769,0.9974489399260367,0.9995105252676983,0.9974059217518912,0.9935478475108592,0.9935478475108592,,,0.999999955990101
AugName:noAug,0.9994914453440062,0.9627842803072936,0.9974412488664839,0.9995017419476417,0.9973971012724188,0.9935749793439526,0.9935749793439526,0.9999999559769202,0.999999955990101,
