Metric,Mean,Std
Accuracy,0.7115800865800865,0.020176871790029034
Macro_Precision,0.6897295523891757,0.018636874717350798
Macro_Recall,0.6940329218106995,0.017517278931679214
Macro_F1,0.6887319013718084,0.017301673367252312
Weighted_Precision,0.7208948862098509,0.0159799737400758
Weighted_Recall,0.7115800865800865,0.020176871790029034
Weighted_F1,0.7134014871508271,0.017781753548403497
Micro_Precision,0.7115800865800865,0.020176871790029034
Micro_Recall,0.7115800865800865,0.020176871790029034
Micro_F1,0.7115800865800865,0.020176871790029024
Integrated_Score,0.7054177789514023,0.017659965661197163
