Metric,Mean,Std
Accuracy,0.7371031746031745,0.04239196715048637
Macro_Precision,0.7168613145332796,0.04736659185503409
Macro_Recall,0.7017952674897119,0.03446204752776755
Macro_F1,0.7053519160841523,0.0385588038219861
Weighted_Precision,0.7371050076761119,0.0374672394186352
Weighted_Recall,0.7371031746031745,0.04239196715048637
Weighted_F1,0.7338083322009245,0.03855401264199886
Micro_Precision,0.7371031746031745,0.04239196715048637
Micro_Recall,0.7371031746031745,0.04239196715048637
Micro_F1,0.7371031746031745,0.04239196715048636
Integrated_Score,0.7262914660539415,0.0401049399880081
