Metric,Mean,Std
Accuracy,0.7528860028860029,0.02501307318036298
Macro_Precision,0.7368715971416925,0.03527806855163585
Macro_Recall,0.700835048010974,0.025023846624159796
Macro_F1,0.7100691775347434,0.026958133887777923
Weighted_Precision,0.7479817995284028,0.02811476939805696
Weighted_Recall,0.7528860028860029,0.02501307318036298
Weighted_F1,0.7432514044771009,0.024448527004343384
Micro_Precision,0.7528860028860029,0.02501307318036298
Micro_Recall,0.7528860028860029,0.02501307318036298
Micro_F1,0.7528860028860029,0.025013073180362975
Integrated_Score,0.7377213329242844,0.026184128749873657
