Detail,MeanImportance,StdImportance,Rank
Model_DTmodel,0.6944994061748219,0.03360487595623231,1
FeatureNum,0.09001018380385088,0.012384989164769085,2
Model_LogisticRegression,0.029050045376272076,0.003997080754811835,3
FS_Method_biMaxInfgain,0.02456392536250673,0.002665003866626761,4
FS_Method_infgain,0.022973567232829284,0.0029993396186308603,5
Scaler_minmax,0.021910910326434618,0.0032411858575205283,6
Scaler_standard,0.02117111080024191,0.0019196144707858689,7
Norm_Order_last,0.01981465874927619,0.0018362162362022894,8
Norm_Order_first,0.019620132871570925,0.0023102849681004576,9
Model_sklearn_SVM,0.014113623959089735,0.004351808955207196,10
