Part_Label,Model:LogisticRegression,Model:XGBmodel,Model:sklearn_SVM,Model:random_forest,FS_Method:noSelect,FeatureNum:8.0,Model:GradientBoosting,Scaler:standard,FeatureNum:5.0,FeatureNum:6.0
Model:LogisticRegression,,,,,0.9787604224143343,0.9787604224143343,,0.9690412211492989,0.9719529017002517,0.9826392429614795
Model:XGBmodel,,,,,0.9980353189215778,0.9980353189215778,,0.9979816244271966,0.9987766617016888,0.9996032986484419
Model:sklearn_SVM,,,,,0.9581483171192309,0.9581483171192309,,0.9435425128785526,0.9473033807942022,0.9629913781227812
Model:random_forest,,,,,0.9917650676530869,0.9917650676530869,,0.9975805419719376,0.996710066640968,0.9910121182597778
FS_Method:noSelect,0.9787604224143343,0.9980353189215778,0.9581483171192309,0.9917650676530869,,1.0,0.993666055443009,0.9978743530671693,0.9978912217572089,0.9992169977529857
FeatureNum:8.0,0.9787604224143343,0.9980353189215778,0.9581483171192309,0.9917650676530869,1.0,,0.993666055443009,0.9978743530671693,,
Model:GradientBoosting,,,,,0.993666055443009,0.993666055443009,,0.9988502748687642,0.9985761236868743,0.9941465832559522
Scaler:standard,0.9690412211492989,0.9979816244271966,0.9435425128785526,0.9975805419719376,0.9978743530671693,0.9978743530671693,0.9988502748687642,,0.9998740496582744,0.9978279074602614
FeatureNum:5.0,0.9719529017002517,0.9987766617016888,0.9473033807942022,0.996710066640968,0.9978912217572089,,0.9985761236868743,0.9998740496582744,,
FeatureNum:6.0,0.9826392429614795,0.9996032986484419,0.9629913781227812,0.9910121182597778,0.9992169977529857,,0.9941465832559522,0.9978279074602614,,
