Part_Label,Model:LogisticRegression,Model:XGBmodel,Model:sklearn_SVM,FS_Method:noSelect,FeatureNum:8.0,FeatureNum:5.0,Model:random_forest,Scaler:minmax,Norm_Order:first,AugName:noAug
Model:LogisticRegression,,,,0.9849755249525213,0.9849755249525213,0.9701186285044499,,0.9929077658691878,0.9757962763345579,0.9755916627918171
Model:XGBmodel,,,,0.9916524121386276,0.9916524121386276,0.998963265626147,,0.9845917195792854,0.996975921344105,0.997034336471635
Model:sklearn_SVM,,,,0.9555306581771483,0.9555306581771483,0.9288077269073256,,0.9689540509029744,0.9392996774201849,0.9389886718867063
FS_Method:noSelect,0.9849755249525213,0.9916524121386276,0.9555306581771483,,1.0,0.9961698305770412,0.992753443786441,0.998166797013354,0.99857030966279,0.9985201028595727
FeatureNum:8.0,0.9849755249525213,0.9916524121386276,0.9555306581771483,1.0,,,0.992753443786441,0.998166797013354,0.99857030966279,0.9985201028595727
FeatureNum:5.0,0.9701186285044499,0.998963265626147,0.9288077269073256,0.9961698305770412,,,0.9993463308260233,0.9915073646658045,0.999290970774707,0.9993117668710094
Model:random_forest,,,,0.992753443786441,0.992753443786441,0.9993463308260233,,0.9870633118225591,0.9976971720359953,0.9977531485621459
Scaler:minmax,0.9929077658691878,0.9845917195792854,0.9689540509029744,0.998166797013354,0.998166797013354,0.9915073646658045,0.9870633118225591,,0.9946991426057077,0.9946085241491046
Norm_Order:first,0.9757962763345579,0.996975921344105,0.9392996774201849,0.99857030966279,0.99857030966279,0.999290970774707,0.9976971720359953,0.9946991426057077,,0.9999994859207909
AugName:noAug,0.9755916627918171,0.997034336471635,0.9389886718867063,0.9985201028595727,0.9985201028595727,0.9993117668710094,0.9977531485621459,0.9946085241491046,0.9999994859207909,
