Part_Label,Model:LogisticRegression,Model:random_forest,Model:XGBmodel,Model:GradientBoosting,FeatureNum:4.0,Scaler:standard,FS_Method:infgain,FeatureNum:6.0,Norm_Order:last,Prob_Threshold:0.5
Model:LogisticRegression,,,,,0.9993318063276297,0.9959768263105216,0.9995199285357578,0.9981010205085754,0.9963836215401206,0.9962719409114108
Model:random_forest,,,,,0.9696631213554139,0.9869101633637618,0.9729361716291316,0.980248997454329,0.9859782649843265,0.9862017256679222
Model:XGBmodel,,,,,0.9963999944273245,0.985922269483675,0.995009566849018,0.990791592808807,0.9867844591545033,0.9865868491286359
Model:GradientBoosting,,,,,0.9951924185042444,0.9995670670103776,0.9951159373787859,0.9970242095483735,0.9987885902648292,0.998835360275102
FeatureNum:4.0,0.9993318063276297,0.9696631213554139,0.9963999944273245,0.9951924185042444,,0.9962681933792032,0.9989152700774687,,0.996172710837258,0.9960873213057179
Scaler:standard,0.9959768263105216,0.9869101633637618,0.985922269483675,0.9995670670103776,0.9962681933792032,,0.9970095890893513,0.9985968518804169,0.9996834276448886,0.9996971736231701
FS_Method:infgain,0.9995199285357578,0.9729361716291316,0.995009566849018,0.9951159373787859,0.9989152700774687,0.9970095890893513,,0.9993447472214664,0.9978524266788489,0.9977636767574298
FeatureNum:6.0,0.9981010205085754,0.980248997454329,0.990791592808807,0.9970242095483735,,0.9985968518804169,0.9993447472214664,,0.999441235874083,0.9993954970443822
Norm_Order:last,0.9963836215401206,0.9859782649843265,0.9867844591545033,0.9987885902648292,0.996172710837258,0.9996834276448886,0.9978524266788489,0.999441235874083,,0.9999989685994966
Prob_Threshold:0.5,0.9962719409114108,0.9862017256679222,0.9865868491286359,0.998835360275102,0.9960873213057179,0.9996971736231701,0.9977636767574298,0.9993954970443822,0.9999989685994966,
