Part_Label,Scaler:standard,FeatureNum:7.0,FS_Method:biMaxInfgain,FeatureNum:4.0,FeatureNum:5.0,Norm_Order:first,Norm_Order:last,AugName:noAug,Prob_Threshold:0.5,Split_Ratio:0.2
Scaler:standard,,0.9973501400378089,0.9984054039722571,0.9962681933792019,0.9949344880222802,0.9997088563612468,0.9996834276448886,0.9996971736231701,0.9996971736231701,0.9996971736231701
FeatureNum:7.0,0.9973501400378089,,0.9958313138265539,,,0.9986879399420402,0.9987567071924588,0.9987233518311502,0.9987233518311502,0.9987233518311502
FS_Method:biMaxInfgain,0.9984054039722571,0.9958313138265539,,0.9900636939293541,0.9987474581291087,0.9982546296284049,0.9980865989749994,0.9981716479090446,0.9981716479090446,0.9981716479090446
FeatureNum:4.0,0.9962681933792019,,0.9900636939293541,,,0.9959998858797022,0.996172710837258,0.9960873213057179,0.9960873213057179,0.9960873213057179
FeatureNum:5.0,0.9949344880222802,,0.9987474581291087,,,0.9941891669326217,0.9938808239860266,0.9940360283049546,0.9940360283049546,0.9940360283049546
Norm_Order:first,0.9997088563612468,0.9986879399420402,0.9982546296284049,0.9959998858797022,0.9941891669326217,,,0.9999989688054931,0.9999989688054931,0.9999989688054931
Norm_Order:last,0.9996834276448886,0.9987567071924588,0.9980865989749994,0.996172710837258,0.9938808239860266,,,0.9999989685994966,0.9999989685994966,0.9999989685994966
AugName:noAug,0.9996971736231701,0.9987233518311502,0.9981716479090446,0.9960873213057179,0.9940360283049546,0.9999989688054931,0.9999989685994966,,1.0,1.0
Prob_Threshold:0.5,0.9996971736231701,0.9987233518311502,0.9981716479090446,0.9960873213057179,0.9940360283049546,0.9999989688054931,0.9999989685994966,1.0,,1.0
Split_Ratio:0.2,0.9996971736231701,0.9987233518311502,0.9981716479090446,0.9960873213057179,0.9940360283049546,0.9999989688054931,0.9999989685994966,1.0,1.0,
