Metric,Mean,Std
Accuracy,0.7348484848484849,0.019848108864254917
Macro_Precision,0.7111273772316511,0.02646937301471684
Macro_Recall,0.6854475308641975,0.02095263898750844
Macro_F1,0.6925125397733445,0.022137143977829878
Weighted_Precision,0.7277334366229575,0.021695669485205304
Weighted_Recall,0.7348484848484849,0.019848108864254917
Weighted_F1,0.726509515019524,0.019753562562028842
Micro_Precision,0.7348484848484849,0.019848108864254917
Micro_Recall,0.7348484848484849,0.019848108864254917
Micro_F1,0.7348484848484849,0.01984810886425491
Integrated_Score,0.7192235366302047,0.02084873948675445
